"MonthEnding","Country","DiagnosticTestType","DiagnosticTestDescription","NumberOnList","NumberOnListQF","NumberWaitingOverFourWeeks","NumberWaitingOverFourWeeksQF","NumberWaitingOverSixWeeks","NumberWaitingOverSixWeeksQF"
"20100131","S92000003","Endoscopy","All Endoscopy",11463,"d",1347,"d",92,"d"
"20100228","S92000003","Endoscopy","All Endoscopy",10984,"d",886,"d",22,"d"
"20100331","S92000003","Endoscopy","All Endoscopy",10422,"d",43,"d",3,"d"
"20100430","S92000003","Endoscopy","All Endoscopy",10344,"d",195,"d",40,"d"
"20100531","S92000003","Endoscopy","All Endoscopy",11061,"d",170,"d",81,"d"
"20100630","S92000003","Endoscopy","All Endoscopy",12694,"d",42,"d",0,"d"
"20100731","S92000003","Endoscopy","All Endoscopy",12195,"d",66,"d",4,"d"
"20100831","S92000003","Endoscopy","All Endoscopy",11957,"d",151,"d",27,"d"
"20100930","S92000003","Endoscopy","All Endoscopy",12927,"d",670,"d",199,"d"
"20101031","S92000003","Endoscopy","All Endoscopy",13367,"d",1409,"d",841,"d"
"20101130","S92000003","Endoscopy","All Endoscopy",13733,"d",2091,"d",1504,"d"
"20101231","S92000003","Endoscopy","All Endoscopy",13082,"d",3082,"d",2338,"d"
"20110131","S92000003","Endoscopy","All Endoscopy",14945,"d",2938,"d",2486,"d"
"20110228","S92000003","Endoscopy","All Endoscopy",14498,"d",2913,"d",2156,"d"
"20110331","S92000003","Endoscopy","All Endoscopy",13056,"d",1538,"d",944,"d"
"20110430","S92000003","Endoscopy","All Endoscopy",12578,"d",1265,"d",607,"d"
"20110531","S92000003","Endoscopy","All Endoscopy",12247,"d",414,"d",47,"d"
"20110630","S92000003","Endoscopy","All Endoscopy",11866,"d",769,"d",237,"d"
"20110731","S92000003","Endoscopy","All Endoscopy",11773,"d",841,"d",158,"d"
"20110831","S92000003","Endoscopy","All Endoscopy",11768,"d",956,"d",273,"d"
"20110930","S92000003","Endoscopy","All Endoscopy",11942,"d",543,"d",41,"d"
"20111031","S92000003","Endoscopy","All Endoscopy",12615,"d",691,"d",109,"d"
"20111130","S92000003","Endoscopy","All Endoscopy",12712,"d",1102,"d",255,"d"
"20111231","S92000003","Endoscopy","All Endoscopy",12384,"d",1459,"d",533,"d"
"20120131","S92000003","Endoscopy","All Endoscopy",11794,"d",721,"d",340,"d"
"20120229","S92000003","Endoscopy","All Endoscopy",12309,"d",827,"d",295,"d"
"20120331","S92000003","Endoscopy","All Endoscopy",13706,"d",1499,"d",546,"d"
"20120430","S92000003","Endoscopy","All Endoscopy",14094,"d",1917,"d",617,"d"
"20120531","S92000003","Endoscopy","All Endoscopy",13970,"d",1698,"d",448,"d"
"20120630","S92000003","Endoscopy","All Endoscopy",13627,"d",1801,"d",622,"d"
"20120731","S92000003","Endoscopy","All Endoscopy",13175,"d",1885,"d",622,"d"
"20120831","S92000003","Endoscopy","All Endoscopy",13397,"d",1904,"d",814,"d"
"20120930","S92000003","Endoscopy","All Endoscopy",13355,"d",2111,"d",978,"d"
"20121031","S92000003","Endoscopy","All Endoscopy",13699,"d",2504,"d",1462,"d"
"20121130","S92000003","Endoscopy","All Endoscopy",14351,"d",2770,"d",1730,"d"
"20121231","S92000003","Endoscopy","All Endoscopy",13041,"d",3050,"d",1925,"d"
"20130131","S92000003","Endoscopy","All Endoscopy",13640,"d",2438,"d",1864,"d"
"20130228","S92000003","Endoscopy","All Endoscopy",13422,"d",1982,"d",1009,"d"
"20130331","S92000003","Endoscopy","All Endoscopy",13034,"d",1847,"d",766,"d"
"20130430","S92000003","Endoscopy","All Endoscopy",13375,"d",1592,"d",717,"d"
"20130531","S92000003","Endoscopy","All Endoscopy",13367,"d",1514,"d",511,"d"
"20130630","S92000003","Endoscopy","All Endoscopy",12556,"d",1299,"d",365,"d"
"20130731","S92000003","Endoscopy","All Endoscopy",12308,"d",1139,"d",292,"d"
"20130831","S92000003","Endoscopy","All Endoscopy",12272,"d",1092,"d",368,"d"
"20130930","S92000003","Endoscopy","All Endoscopy",12492,"d",1217,"d",398,"d"
"20131031","S92000003","Endoscopy","All Endoscopy",13177,"d",1315,"d",457,"d"
"20131130","S92000003","Endoscopy","All Endoscopy",13450,"d",1337,"d",504,"d"
"20131231","S92000003","Endoscopy","All Endoscopy",13313,"d",2037,"d",790,"d"
"20140131","S92000003","Endoscopy","All Endoscopy",14908,"d",1822,"d",1214,"d"
"20140228","S92000003","Endoscopy","All Endoscopy",15004,"d",2323,"d",985,"d"
"20140331","S92000003","Endoscopy","All Endoscopy",15519,"d",3706,"d",1545,"d"
"20140430","S92000003","Endoscopy","All Endoscopy",15777,"d",4016,"d",2406,"d"
"20140531","S92000003","Endoscopy","All Endoscopy",15737,"d",4082,"d",2572,"d"
"20140630","S92000003","Endoscopy","All Endoscopy",15281,"d",4093,"d",2675,"d"
"20140731","S92000003","Endoscopy","All Endoscopy",15042,"d",4450,"d",2938,"d"
"20140831","S92000003","Endoscopy","All Endoscopy",15309,"d",4597,"d",3153,"d"
"20140930","S92000003","Endoscopy","All Endoscopy",15622,"d",4361,"d",2754,"d"
"20141031","S92000003","Endoscopy","All Endoscopy",15904,"d",4556,"d",2676,"d"
"20141130","S92000003","Endoscopy","All Endoscopy",16735,"d",4827,"d",2818,"d"
"20141231","S92000003","Endoscopy","All Endoscopy",16447,"d",5457,"d",3573,"d"
"20150131","S92000003","Endoscopy","All Endoscopy",17372,"d",5888,"d",4475,"d"
"20150228","S92000003","Endoscopy","All Endoscopy",18255,"d",5797,"d",3673,"d"
"20150331","S92000003","Endoscopy","All Endoscopy",18692,"d",6479,"d",4113,"d"
"20150430","S92000003","Endoscopy","All Endoscopy",19345,"d",7568,"d",4876,"d"
"20150531","S92000003","Endoscopy","All Endoscopy",18846,"d",7020,"d",4595,"d"
"20150630","S92000003","Endoscopy","All Endoscopy",18419,"d",6485,"d",4422,"d"
"20150731","S92000003","Endoscopy","All Endoscopy",17512,"d",6555,"d",4852,"d"
"20150831","S92000003","Endoscopy","All Endoscopy",17847,"d",6178,"d",4616,"d"
"20150930","S92000003","Endoscopy","All Endoscopy",17259,"d",5950,"d",4308,"d"
"20151031","S92000003","Endoscopy","All Endoscopy",16754,"d",5769,"d",4189,"d"
"20151130","S92000003","Endoscopy","All Endoscopy",16043,"d",4304,"d",2878,"d"
"20151231","S92000003","Endoscopy","All Endoscopy",15387,"d",4583,"d",2916,"d"
"20160131","S92000003","Endoscopy","All Endoscopy",15467,"d",4601,"d",3401,"d"
"20160229","S92000003","Endoscopy","All Endoscopy",15756,"d",3980,"d",2358,"d"
"20160331","S92000003","Endoscopy","All Endoscopy",15568,"d",3996,"d",2355,"d"
"20160430","S92000003","Endoscopy","All Endoscopy",16213,"d",4644,"d",2872,"d"
"20160531","S92000003","Endoscopy","All Endoscopy",16436,"d",4389,"d",2594,"d"
"20160630","S92000003","Endoscopy","All Endoscopy",15982,"d",4318,"d",2563,"d"
"20160731","S92000003","Endoscopy","All Endoscopy",17263,"d",5332,"d",2896,"d"
"20160831","S92000003","Endoscopy","All Endoscopy",18382,"d",6057,"d",3674,"d"
"20160930","S92000003","Endoscopy","All Endoscopy",19275,"d",6998,"d",4215,"d"
"20161031","S92000003","Endoscopy","All Endoscopy",19647,"d",7193,"d",4732,"d"
"20161130","S92000003","Endoscopy","All Endoscopy",19576,"d",7199,"d",4785,"d"
"20161231","S92000003","Endoscopy","All Endoscopy",19788,"d",7990,"d",5324,"d"
"20170131","S92000003","Endoscopy","All Endoscopy",19733,"d",7435,"d",5863,"d"
"20170228","S92000003","Endoscopy","All Endoscopy",21146,"d",7789,"d",5200,"d"
"20170331","S92000003","Endoscopy","All Endoscopy",22073,"d",8460,"d",5724,"d"
"20170430","S92000003","Endoscopy","All Endoscopy",22645,"d",10511,"d",7371,"d"
"20170531","S92000003","Endoscopy","All Endoscopy",22695,"d",10421,"d",7721,"d"
"20170630","S92000003","Endoscopy","All Endoscopy",23440,"d",10964,"d",8362,"d"
"20170731","S92000003","Endoscopy","All Endoscopy",23583,"d",12204,"d",9347,"d"
"20170831","S92000003","Endoscopy","All Endoscopy",23581,"d",11969,"d",9727,"d"
"20170930","S92000003","Endoscopy","All Endoscopy",24474,"d",12748,"d",10013,"d"
"20171031","S92000003","Endoscopy","All Endoscopy",25376,"d",13066,"d",10463,"d"
"20171130","S92000003","Endoscopy","All Endoscopy",25238,"d",12613,"d",10077,"d"
"20171231","S92000003","Endoscopy","All Endoscopy",25758,"d",14336,"d",11105,"d"
"20180131","S92000003","Endoscopy","All Endoscopy",26055,"d",13424,"d",11853,"d"
"20180228","S92000003","Endoscopy","All Endoscopy",26880,"d",13405,"d",10422,"d"
"20180331","S92000003","Endoscopy","All Endoscopy",28122,"d",14699,"d",11540,"d"
"20180430","S92000003","Endoscopy","All Endoscopy",28266,"d",14851,"d",11760,"d"
"20180531","S92000003","Endoscopy","All Endoscopy",29372,"d",15624,"d",11912,"d"
"20180630","S92000003","Endoscopy","All Endoscopy",29273,"d",16159,"d",12701,"d"
"20180731","S92000003","Endoscopy","All Endoscopy",28962,"d",16767,"d",13314,"d"
"20180831","S92000003","Endoscopy","All Endoscopy",28804,"d",16034,"d",12995,"d"
"20180930","S92000003","Endoscopy","All Endoscopy",28848,"d",16224,"d",12697,"d"
"20181031","S92000003","Endoscopy","All Endoscopy",27863,"d",15035,"d",12061,"d"
"20181130","S92000003","Endoscopy","All Endoscopy",27222,"d",14082,"d",11221,"d"
"20181231","S92000003","Endoscopy","All Endoscopy",26943,"d",15305,"d",11597,"d"
"20190131","S92000003","Endoscopy","All Endoscopy",26371,"d",13776,"d",11933,"d"
"20190228","S92000003","Endoscopy","All Endoscopy",26321,"d",13146,"d",9851,"d"
"20190331","S92000003","Endoscopy","All Endoscopy",25613,"d",12774,"d",9476,"d"
"20190430","S92000003","Endoscopy","All Endoscopy",24743,"d",12493,"d",9108,"d"
"20190531","S92000003","Endoscopy","All Endoscopy",23153,"d",11100,"d",8225,"d"
"20190630","S92000003","Endoscopy","All Endoscopy",22686,"d",10831,"d",7875,"d"
"20190731","S92000003","Endoscopy","All Endoscopy",21471,"d",10238,"d",7347,"d"
"20190831","S92000003","Endoscopy","All Endoscopy",21093,"d",9520,"d",6954,"d"
"20190930","S92000003","Endoscopy","All Endoscopy",20730,"d",8832,"d",6129,"d"
"20191031","S92000003","Endoscopy","All Endoscopy",20989,"d",9005,"d",6398,"d"
"20191130","S92000003","Endoscopy","All Endoscopy",21074,"d",8718,"d",6290,"d"
"20191231","S92000003","Endoscopy","All Endoscopy",21896,"d",10131,"d",6990,"d"
"20200131","S92000003","Endoscopy","All Endoscopy",22281,"d",9389,"d",7887,"d"
"20200229","S92000003","Endoscopy","All Endoscopy",22432,"d",10007,"d",7009,"d"
"20200331","S92000003","Endoscopy","All Endoscopy",23328,"d",13239,"d",9340,"d"
"20200430","S92000003","Endoscopy","All Endoscopy",25670,"d",22541,"d",19648,"d"
"20200531","S92000003","Endoscopy","All Endoscopy",27623,"d",24051,"d",22757,"d"
"20200630","S92000003","Endoscopy","All Endoscopy",29925,"d",24737,"d",23088,"d"
"20200731","S92000003","Endoscopy","All Endoscopy",31153,"d",25219,"d",23358,"d"
"20200831","S92000003","Endoscopy","All Endoscopy",32534,"d",25669,"d",23787,"d"
"20200930","S92000003","Endoscopy","All Endoscopy",32769,"d",25604,"d",23383,"d"
"20201031","S92000003","Endoscopy","All Endoscopy",31562,"d",24683,"d",22789,"d"
"20201130","S92000003","Endoscopy","All Endoscopy",30815,"d",22941,"d",21098,"d"
"20201231","S92000003","Endoscopy","All Endoscopy",31637,"d",23741,"d",21460,"d"
"20210131","S92000003","Endoscopy","All Endoscopy",31891,"d",24208,"d",22662,"d"
"20210228","S92000003","Endoscopy","All Endoscopy",32664,"d",24223,"d",22075,"d"
"20210331","S92000003","Endoscopy","All Endoscopy",33444,"d",24076,"d",21878,"d"
"20210430","S92000003","Endoscopy","All Endoscopy",34660,"d",24995,"d",22445,"d"
"20210531","S92000003","Endoscopy","All Endoscopy",35020,"d",25076,"d",22248,"d"
"20210630","S92000003","Endoscopy","All Endoscopy",34509,"d",24363,"d",21899,"d"
"20210731","S92000003","Endoscopy","All Endoscopy",34595,"d",25518,"d",22791,"d"
"20210831","S92000003","Endoscopy","All Endoscopy",34686,"d",25212,"d",22919,"d"
"20210930","S92000003","Endoscopy","All Endoscopy",34740,"d",25625,"d",22947,"d"
"20070930","S92000003","Endoscopy","Colonoscopy",3717,"",1257,"",511,""
"20071231","S92000003","Endoscopy","Colonoscopy",3896,"",1437,"",543,""
"20080131","S92000003","Endoscopy","Colonoscopy",4310,"",1409,"",722,""
"20080229","S92000003","Endoscopy","Colonoscopy",4198,"",1366,"",525,""
"20080331","S92000003","Endoscopy","Colonoscopy",4320,"",1454,"",523,""
"20080430","S92000003","Endoscopy","Colonoscopy",4412,"",1367,"",576,""
"20080531","S92000003","Endoscopy","Colonoscopy",4194,"",1243,"",476,""
"20080630","S92000003","Endoscopy","Colonoscopy",4204,"",1053,"",371,""
"20080731","S92000003","Endoscopy","Colonoscopy",4360,"",1292,"",493,""
"20080831","S92000003","Endoscopy","Colonoscopy",4299,"",1085,"",413,""
"20080930","S92000003","Endoscopy","Colonoscopy",3731,"",1074,"",380,""
"20081031","S92000003","Endoscopy","Colonoscopy",3891,"",1132,"",462,""
"20081130","S92000003","Endoscopy","Colonoscopy",3524,"",1048,"",406,""
"20081231","S92000003","Endoscopy","Colonoscopy",3230,"",940,"",355,""
"20090131","S92000003","Endoscopy","Colonoscopy",3514,"",742,"",301,""
"20090228","S92000003","Endoscopy","Colonoscopy",3700,"",722,"",169,""
"20090331","S92000003","Endoscopy","Colonoscopy",3316,"",365,"",1,""
"20090430","S92000003","Endoscopy","Colonoscopy",3637,"",478,"",4,""
"20090531","S92000003","Endoscopy","Colonoscopy",4142,"",753,"",5,""
"20090630","S92000003","Endoscopy","Colonoscopy",3669,"",461,"",5,""
"20090731","S92000003","Endoscopy","Colonoscopy",3638,"",463,"",7,""
"20090831","S92000003","Endoscopy","Colonoscopy",3650,"",477,"",4,""
"20090930","S92000003","Endoscopy","Colonoscopy",4576,"",667,"",17,""
"20091031","S92000003","Endoscopy","Colonoscopy",4448,"",779,"",15,""
"20091130","S92000003","Endoscopy","Colonoscopy",4017,"",483,"",28,""
"20091231","S92000003","Endoscopy","Colonoscopy",4194,"",521,"",22,""
"20100131","S92000003","Endoscopy","Colonoscopy",4366,"",550,"",39,""
"20100228","S92000003","Endoscopy","Colonoscopy",4235,"",338,"",9,""
"20100331","S92000003","Endoscopy","Colonoscopy",3934,"",25,"",3,""
"20100430","S92000003","Endoscopy","Colonoscopy",4356,"",119,"",23,""
"20100531","S92000003","Endoscopy","Colonoscopy",4342,"",116,"",68,""
"20100630","S92000003","Endoscopy","Colonoscopy",5391,"",8,"",0,""
"20100731","S92000003","Endoscopy","Colonoscopy",4843,"",47,"",3,""
"20100831","S92000003","Endoscopy","Colonoscopy",5218,"",110,"",27,""
"20100930","S92000003","Endoscopy","Colonoscopy",5747,"",387,"",112,""
"20101031","S92000003","Endoscopy","Colonoscopy",5696,"",779,"",450,""
"20101130","S92000003","Endoscopy","Colonoscopy",5628,"",1097,"",836,""
"20101231","S92000003","Endoscopy","Colonoscopy",5375,"",1560,"",1245,""
"20110131","S92000003","Endoscopy","Colonoscopy",6129,"",1585,"",1400,""
"20110228","S92000003","Endoscopy","Colonoscopy",6075,"",1560,"",1244,""
"20110331","S92000003","Endoscopy","Colonoscopy",5223,"",703,"",461,""
"20110430","S92000003","Endoscopy","Colonoscopy",5168,"",529,"",276,""
"20110531","S92000003","Endoscopy","Colonoscopy",4985,"",170,"",23,""
"20110630","S92000003","Endoscopy","Colonoscopy",4650,"",291,"",86,""
"20110731","S92000003","Endoscopy","Colonoscopy",4723,"",391,"",50,""
"20110831","S92000003","Endoscopy","Colonoscopy",4913,"",468,"",161,""
"20110930","S92000003","Endoscopy","Colonoscopy",5029,"",223,"",15,""
"20111031","S92000003","Endoscopy","Colonoscopy",5200,"",276,"",20,""
"20111130","S92000003","Endoscopy","Colonoscopy",5049,"",470,"",63,""
"20111231","S92000003","Endoscopy","Colonoscopy",4842,"",462,"",125,""
"20120131","S92000003","Endoscopy","Colonoscopy",4754,"",314,"",145,""
"20120229","S92000003","Endoscopy","Colonoscopy",4842,"",371,"",116,""
"20120331","S92000003","Endoscopy","Colonoscopy",5045,"",351,"",69,""
"20120430","S92000003","Endoscopy","Colonoscopy",5506,"",693,"",162,""
"20120531","S92000003","Endoscopy","Colonoscopy",5279,"",536,"",85,""
"20120630","S92000003","Endoscopy","Colonoscopy",5040,"",492,"",107,""
"20120731","S92000003","Endoscopy","Colonoscopy",4884,"",590,"",159,""
"20120831","S92000003","Endoscopy","Colonoscopy",5096,"",739,"",337,""
"20120930","S92000003","Endoscopy","Colonoscopy",5270,"",967,"",466,""
"20121031","S92000003","Endoscopy","Colonoscopy",5399,"",1278,"",781,""
"20121130","S92000003","Endoscopy","Colonoscopy",5432,"",1398,"",964,""
"20121231","S92000003","Endoscopy","Colonoscopy",4962,"",1418,"",1014,""
"20130131","S92000003","Endoscopy","Colonoscopy",5053,"",1171,"",961,""
"20130228","S92000003","Endoscopy","Colonoscopy",4885,"",965,"",595,""
"20130331","S92000003","Endoscopy","Colonoscopy",4616,"",754,"",359,""
"20130430","S92000003","Endoscopy","Colonoscopy",4620,"",601,"",295,""
"20130531","S92000003","Endoscopy","Colonoscopy",4924,"",535,"",227,""
"20130630","S92000003","Endoscopy","Colonoscopy",4765,"",511,"",174,""
"20130731","S92000003","Endoscopy","Colonoscopy",4766,"",419,"",129,""
"20130831","S92000003","Endoscopy","Colonoscopy",4777,"",347,"",151,""
"20130930","S92000003","Endoscopy","Colonoscopy",4816,"",344,"",89,""
"20131031","S92000003","Endoscopy","Colonoscopy",5110,"",469,"",198,""
"20131130","S92000003","Endoscopy","Colonoscopy",5137,"",489,"",236,""
"20131231","S92000003","Endoscopy","Colonoscopy",4990,"",713,"",344,""
"20140131","S92000003","Endoscopy","Colonoscopy",5488,"",630,"",431,""
"20140228","S92000003","Endoscopy","Colonoscopy",5605,"",785,"",395,""
"20140331","S92000003","Endoscopy","Colonoscopy",5787,"",1363,"",609,""
"20140430","S92000003","Endoscopy","Colonoscopy",6118,"",1487,"",977,""
"20140531","S92000003","Endoscopy","Colonoscopy",6086,"",1544,"",987,""
"20140630","S92000003","Endoscopy","Colonoscopy",5916,"",1483,"",1032,""
"20140731","S92000003","Endoscopy","Colonoscopy",5910,"",1595,"",1064,""
"20140831","S92000003","Endoscopy","Colonoscopy",5962,"",1788,"",1228,""
"20140930","S92000003","Endoscopy","Colonoscopy",6021,"",1538,"",970,""
"20141031","S92000003","Endoscopy","Colonoscopy",5897,"",1404,"",728,""
"20141130","S92000003","Endoscopy","Colonoscopy",6399,"",1538,"",781,""
"20141231","S92000003","Endoscopy","Colonoscopy",6201,"",1857,"",1159,""
"20150131","S92000003","Endoscopy","Colonoscopy",6529,"",2039,"",1484,""
"20150228","S92000003","Endoscopy","Colonoscopy",6653,"",2000,"",1263,""
"20150331","S92000003","Endoscopy","Colonoscopy",6883,"",2154,"",1309,""
"20150430","S92000003","Endoscopy","Colonoscopy",7242,"",2541,"",1512,""
"20150531","S92000003","Endoscopy","Colonoscopy",6927,"",2235,"",1352,""
"20150630","S92000003","Endoscopy","Colonoscopy",6876,"",2030,"",1323,""
"20150731","S92000003","Endoscopy","Colonoscopy",6619,"",2199,"",1530,""
"20150831","S92000003","Endoscopy","Colonoscopy",6748,"",2134,"",1549,""
"20150930","S92000003","Endoscopy","Colonoscopy",6657,"",2142,"",1514,""
"20151031","S92000003","Endoscopy","Colonoscopy",6496,"",2114,"",1485,""
"20151130","S92000003","Endoscopy","Colonoscopy",6253,"",1656,"",1093,""
"20151231","S92000003","Endoscopy","Colonoscopy",6132,"",1879,"",1260,""
"20160131","S92000003","Endoscopy","Colonoscopy",5923,"",1773,"",1327,""
"20160229","S92000003","Endoscopy","Colonoscopy",6046,"",1437,"",864,""
"20160331","S92000003","Endoscopy","Colonoscopy",6042,"",1434,"",800,""
"20160430","S92000003","Endoscopy","Colonoscopy",6532,"",1777,"",1124,""
"20160531","S92000003","Endoscopy","Colonoscopy",6601,"",1645,"",969,""
"20160630","S92000003","Endoscopy","Colonoscopy",6185,"",1653,"",969,""
"20160731","S92000003","Endoscopy","Colonoscopy",7085,"",2054,"",1079,""
"20160831","S92000003","Endoscopy","Colonoscopy",7580,"",2446,"",1464,""
"20160930","S92000003","Endoscopy","Colonoscopy",8022,"",2889,"",1693,""
"20161031","S92000003","Endoscopy","Colonoscopy",8081,"",2925,"",1943,""
"20161130","S92000003","Endoscopy","Colonoscopy",7940,"",2902,"",1937,""
"20161231","S92000003","Endoscopy","Colonoscopy",8025,"",3264,"",2205,""
"20170131","S92000003","Endoscopy","Colonoscopy",7729,"",2823,"",2226,""
"20170228","S92000003","Endoscopy","Colonoscopy",8305,"",3079,"",2056,""
"20170331","S92000003","Endoscopy","Colonoscopy",8760,"",3353,"",2301,""
"20170430","S92000003","Endoscopy","Colonoscopy",9052,"",4180,"",2973,""
"20170531","S92000003","Endoscopy","Colonoscopy",9064,"",4092,"",3078,""
"20170630","S92000003","Endoscopy","Colonoscopy",9362,"",4351,"",3338,""
"20170731","S92000003","Endoscopy","Colonoscopy",9445,"",4911,"",3838,""
"20170831","S92000003","Endoscopy","Colonoscopy",9317,"",4875,"",3994,""
"20170930","S92000003","Endoscopy","Colonoscopy",9680,"",5052,"",4045,""
"20171031","S92000003","Endoscopy","Colonoscopy",9673,"",4903,"",3962,""
"20171130","S92000003","Endoscopy","Colonoscopy",9501,"",4595,"",3623,""
"20171231","S92000003","Endoscopy","Colonoscopy",9675,"",5187,"",4002,""
"20180131","S92000003","Endoscopy","Colonoscopy",9936,"",4858,"",4273,""
"20180228","S92000003","Endoscopy","Colonoscopy",10268,"",4724,"",3643,""
"20180331","S92000003","Endoscopy","Colonoscopy",10796,"",5237,"",3986,""
"20180430","S92000003","Endoscopy","Colonoscopy",11298,"",5493,"",4199,""
"20180531","S92000003","Endoscopy","Colonoscopy",11863,"",5924,"",4313,""
"20180630","S92000003","Endoscopy","Colonoscopy",12013,"",6422,"",4853,""
"20180731","S92000003","Endoscopy","Colonoscopy",12000,"",6945,"",5487,""
"20180831","S92000003","Endoscopy","Colonoscopy",12137,"",6780,"",5478,""
"20180930","S92000003","Endoscopy","Colonoscopy",12226,"",7074,"",5594,""
"20181031","S92000003","Endoscopy","Colonoscopy",11763,"",6487,"",5312,""
"20181130","S92000003","Endoscopy","Colonoscopy",11485,"",6202,"",5014,""
"20181231","S92000003","Endoscopy","Colonoscopy",10896,"",6312,"",4898,""
"20190131","S92000003","Endoscopy","Colonoscopy",10189,"",5359,"",4663,""
"20190228","S92000003","Endoscopy","Colonoscopy",10097,"",4941,"",3705,""
"20190331","S92000003","Endoscopy","Colonoscopy",9897,"",4737,"",3506,""
"20190430","S92000003","Endoscopy","Colonoscopy",9805,"",4797,"",3461,""
"20190531","S92000003","Endoscopy","Colonoscopy",9562,"",4437,"",3249,""
"20190630","S92000003","Endoscopy","Colonoscopy",9254,"",4344,"",3134,""
"20190731","S92000003","Endoscopy","Colonoscopy",8810,"",4099,"",2873,""
"20190831","S92000003","Endoscopy","Colonoscopy",8839,"",3927,"",2867,""
"20190930","S92000003","Endoscopy","Colonoscopy",8645,"",3517,"",2385,""
"20191031","S92000003","Endoscopy","Colonoscopy",8708,"",3538,"",2514,""
"20191130","S92000003","Endoscopy","Colonoscopy",8564,"",3457,"",2470,""
"20191231","S92000003","Endoscopy","Colonoscopy",8668,"",3783,"",2635,""
"20200131","S92000003","Endoscopy","Colonoscopy",8651,"",3345,"",2769,""
"20200229","S92000003","Endoscopy","Colonoscopy",8383,"",3345,"",2194,""
"20200331","S92000003","Endoscopy","Colonoscopy",8766,"",4304,"",2866,""
"20200430","S92000003","Endoscopy","Colonoscopy",9790,"",8493,"",7085,""
"20200531","S92000003","Endoscopy","Colonoscopy",10326,"",9014,"",8505,""
"20200630","S92000003","Endoscopy","Colonoscopy",11110,"",9278,"",8626,""
"20200731","S92000003","Endoscopy","Colonoscopy",11379,"",9230,"",8557,""
"20200831","S92000003","Endoscopy","Colonoscopy",11797,"",9259,"",8550,""
"20200930","S92000003","Endoscopy","Colonoscopy",11340,"",8669,"",7907,""
"20201031","S92000003","Endoscopy","Colonoscopy",10275,"",7920,"",7310,""
"20201130","S92000003","Endoscopy","Colonoscopy",9927,"",6946,"",6444,""
"20201231","S92000003","Endoscopy","Colonoscopy",10278,"",7100,"",6348,""
"20210131","S92000003","Endoscopy","Colonoscopy",10252,"",7138,"",6666,""
"20210228","S92000003","Endoscopy","Colonoscopy",10710,"",7067,"",6373,""
"20210331","S92000003","Endoscopy","Colonoscopy",11597,"",7421,"",6542,""
"20210430","S92000003","Endoscopy","Colonoscopy",12264,"",8047,"",6984,""
"20210531","S92000003","Endoscopy","Colonoscopy",12781,"",8255,"",7074,""
"20210630","S92000003","Endoscopy","Colonoscopy",12865,"",8476,"",7416,""
"20210731","S92000003","Endoscopy","Colonoscopy",13099,"",9099,"",8004,""
