,Unnamed: 0,Quarter,HB,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,Date,DateSquared,Pandemic,PopSize,PandemicRecovery
71,79,2012Q1,S08000025,Upper GI,1.0,0.0,0,0,0,21530.0,0.0
72,80,2012Q1,S08000025,Urological,1.0,1.0,0,0,0,21530.0,0.0
73,82,2012Q1,S08000026,Breast,1.0,1.0,0,0,0,21530.0,0.0
74,83,2012Q1,S08000026,Colorectal,6.0,5.0,0,0,0,21530.0,0.0
75,84,2012Q1,S08000026,Lung,5.0,5.0,0,0,0,23210.0,0.0
76,85,2012Q1,S08000026,Lymphoma,1.0,1.0,0,0,0,23210.0,0.0
77,86,2012Q1,S08000026,Melanoma,1.0,1.0,0,0,0,23210.0,0.0
78,87,2012Q1,S08000026,Upper GI,1.0,1.0,0,0,0,23210.0,0.0
79,88,2012Q1,S08000026,Urological,1.0,1.0,0,0,0,23210.0,0.0
80,90,2012Q1,S08000028,Colorectal,3.0,3.0,0,0,0,23210.0,0.0
81,91,2012Q1,S08000028,Lung,6.0,6.0,0,0,0,23210.0,0.0
82,92,2012Q1,S08000028,Upper GI,3.0,3.0,0,0,0,23210.0,0.0
83,93,2012Q1,S08000028,Urological,1.0,1.0,0,0,0,27560.0,0.0
84,95,2012Q1,S08000029,Breast,24.0,24.0,0,0,0,27560.0,0.0
85,96,2012Q1,S08000029,Cervical,3.0,2.0,0,0,0,27560.0,0.0
86,97,2012Q1,S08000029,Colorectal,35.0,29.0,0,0,0,27560.0,0.0
87,98,2012Q1,S08000029,Head & Neck,5.0,5.0,0,0,0,27560.0,0.0
88,99,2012Q1,S08000029,Lung,58.0,55.0,0,0,0,27560.0,0.0
89,100,2012Q1,S08000029,Lymphoma,7.0,6.0,0,0,0,366210.0,0.0
90,101,2012Q1,S08000029,Melanoma,5.0,5.0,0,0,0,366210.0,0.0
91,102,2012Q1,S08000029,Ovarian,5.0,3.0,0,0,0,366210.0,0.0
92,103,2012Q1,S08000029,Upper GI,17.0,17.0,0,0,0,366210.0,0.0
93,104,2012Q1,S08000029,Urological,32.0,29.0,0,0,0,366210.0,0.0
94,106,2012Q1,S08000030,Breast,67.0,67.0,0,0,0,366210.0,0.0
95,107,2012Q1,S08000030,Cervical,2.0,2.0,0,0,0,366210.0,0.0
96,108,2012Q1,S08000030,Colorectal,42.0,37.0,0,0,0,366210.0,0.0
97,109,2012Q1,S08000030,Head & Neck,8.0,7.0,0,0,0,366210.0,0.0
98,110,2012Q1,S08000030,Lung,40.0,38.0,0,0,0,366210.0,0.0
99,111,2012Q1,S08000030,Lymphoma,5.0,5.0,0,0,0,411740.0,0.0
100,112,2012Q1,S08000030,Melanoma,10.0,10.0,0,0,0,411740.0,0.0
101,113,2012Q1,S08000030,Ovarian,4.0,4.0,0,0,0,411740.0,0.0
102,114,2012Q1,S08000030,Upper GI,13.0,13.0,0,0,0,411740.0,0.0
103,115,2012Q1,S08000030,Urological,32.0,30.0,0,0,0,411740.0,0.0
104,117,2012Q1,S08000031,Breast,207.0,207.0,0,0,0,411740.0,0.0
105,118,2012Q1,S08000031,Cervical,6.0,6.0,0,0,0,411740.0,0.0
106,119,2012Q1,S08000031,Colorectal,102.0,94.0,0,0,0,411740.0,0.0
107,120,2012Q1,S08000031,Head & Neck,33.0,32.0,0,0,0,411740.0,0.0
108,121,2012Q1,S08000031,Lung,113.0,96.0,0,0,0,411740.0,0.0
109,122,2012Q1,S08000031,Lymphoma,18.0,18.0,0,0,0,1137320.0,0.0
110,123,2012Q1,S08000031,Melanoma,25.0,25.0,0,0,0,1137320.0,0.0
111,124,2012Q1,S08000031,Ovarian,6.0,6.0,0,0,0,1137320.0,0.0
112,125,2012Q1,S08000031,Upper GI,98.0,92.0,0,0,0,1137320.0,0.0
113,126,2012Q1,S08000031,Urological,88.0,86.0,0,0,0,1137320.0,0.0
114,128,2012Q1,S08000032,Breast,53.0,53.0,0,0,0,1137320.0,0.0
115,129,2012Q1,S08000032,Cervical,8.0,7.0,0,0,0,1137320.0,0.0
116,130,2012Q1,S08000032,Colorectal,50.0,47.0,0,0,0,1137320.0,0.0
117,131,2012Q1,S08000032,Head & Neck,5.0,5.0,0,0,0,1137320.0,0.0
118,132,2012Q1,S08000032,Lung,63.0,62.0,0,0,0,1137320.0,0.0
119,133,2012Q1,S08000032,Lymphoma,4.0,4.0,0,0,0,652220.0,0.0
120,134,2012Q1,S08000032,Melanoma,16.0,16.0,0,0,0,652220.0,0.0
121,135,2012Q1,S08000032,Ovarian,6.0,6.0,0,0,0,652220.0,0.0
122,136,2012Q1,S08000032,Upper GI,28.0,27.0,0,0,0,652220.0,0.0
123,137,2012Q1,S08000032,Urological,43.0,40.0,0,0,0,652220.0,0.0
124,150,2012Q2,S08000015,Breast,70.0,70.0,1,1,0,652220.0,0.0
125,151,2012Q2,S08000015,Cervical,4.0,4.0,1,1,0,652220.0,0.0
126,152,2012Q2,S08000015,Colorectal,35.0,32.0,1,1,0,652220.0,0.0
127,153,2012Q2,S08000015,Head & Neck,5.0,4.0,1,1,0,652220.0,0.0
128,154,2012Q2,S08000015,Lung,52.0,51.0,1,1,0,652220.0,0.0
129,155,2012Q2,S08000015,Lymphoma,5.0,5.0,1,1,0,373220.0,0.0
130,156,2012Q2,S08000015,Ovarian,7.0,7.0,1,1,0,373220.0,0.0
131,157,2012Q2,S08000015,Upper GI,30.0,27.0,1,1,0,373220.0,0.0
132,158,2012Q2,S08000015,Urological,19.0,17.0,1,1,0,373220.0,0.0
133,160,2012Q2,S08000016,Breast,10.0,10.0,1,1,0,373220.0,0.0
134,161,2012Q2,S08000016,Cervical,1.0,1.0,1,1,0,373220.0,0.0
135,162,2012Q2,S08000016,Colorectal,12.0,12.0,1,1,0,373220.0,0.0
136,163,2012Q2,S08000016,Head & Neck,3.0,2.0,1,1,0,373220.0,0.0
137,164,2012Q2,S08000016,Lung,8.0,8.0,1,1,0,373220.0,0.0
138,165,2012Q2,S08000016,Lymphoma,3.0,3.0,1,1,0,373220.0,0.0
139,166,2012Q2,S08000016,Melanoma,6.0,6.0,1,1,0,113720.0,0.0
140,167,2012Q2,S08000016,Ovarian,4.0,4.0,1,1,0,113720.0,0.0
141,168,2012Q2,S08000016,Upper GI,9.0,9.0,1,1,0,113720.0,0.0
142,169,2012Q2,S08000016,Urological,18.0,18.0,1,1,0,113720.0,0.0
143,171,2012Q2,S08000017,Breast,11.0,11.0,1,1,0,113720.0,0.0
144,172,2012Q2,S08000017,Cervical,1.0,0.0,1,1,0,113720.0,0.0
145,173,2012Q2,S08000017,Colorectal,19.0,19.0,1,1,0,113720.0,0.0
146,174,2012Q2,S08000017,Head & Neck,4.0,4.0,1,1,0,113720.0,0.0
147,175,2012Q2,S08000017,Lung,26.0,26.0,1,1,0,113720.0,0.0
148,176,2012Q2,S08000017,Lymphoma,3.0,3.0,1,1,0,113720.0,0.0
149,177,2012Q2,S08000017,Melanoma,3.0,3.0,1,1,0,150840.0,0.0
150,178,2012Q2,S08000017,Ovarian,1.0,1.0,1,1,0,150840.0,0.0
151,179,2012Q2,S08000017,Upper GI,6.0,6.0,1,1,0,150840.0,0.0
152,180,2012Q2,S08000017,Urological,14.0,11.0,1,1,0,150840.0,0.0
153,182,2012Q2,S08000019,Breast,47.0,44.0,1,1,0,150840.0,0.0
154,183,2012Q2,S08000019,Cervical,1.0,1.0,1,1,0,150840.0,0.0
155,184,2012Q2,S08000019,Colorectal,38.0,34.0,1,1,0,150840.0,0.0
156,185,2012Q2,S08000019,Head & Neck,11.0,10.0,1,1,0,150840.0,0.0
157,186,2012Q2,S08000019,Lung,35.0,34.0,1,1,0,150840.0,0.0
158,187,2012Q2,S08000019,Lymphoma,5.0,5.0,1,1,0,150840.0,0.0
159,188,2012Q2,S08000019,Melanoma,6.0,5.0,1,1,0,299090.0,0.0
160,189,2012Q2,S08000019,Ovarian,4.0,4.0,1,1,0,299090.0,0.0
161,190,2012Q2,S08000019,Upper GI,21.0,19.0,1,1,0,299090.0,0.0
162,191,2012Q2,S08000019,Urological,35.0,31.0,1,1,0,299090.0,0.0
163,193,2012Q2,S08000020,Breast,80.0,80.0,1,1,0,299090.0,0.0
164,194,2012Q2,S08000020,Cervical,7.0,7.0,1,1,0,299090.0,0.0
165,195,2012Q2,S08000020,Colorectal,71.0,62.0,1,1,0,299090.0,0.0
166,196,2012Q2,S08000020,Head & Neck,7.0,6.0,1,1,0,299090.0,0.0
167,197,2012Q2,S08000020,Lung,54.0,54.0,1,1,0,299090.0,0.0
168,198,2012Q2,S08000020,Lymphoma,18.0,14.0,1,1,0,299090.0,0.0
169,199,2012Q2,S08000020,Melanoma,9.0,9.0,1,1,0,573400.0,0.0
170,200,2012Q2,S08000020,Ovarian,7.0,6.0,1,1,0,573400.0,0.0
171,201,2012Q2,S08000020,Upper GI,30.0,30.0,1,1,0,573400.0,0.0
172,202,2012Q2,S08000020,Urological,40.0,39.0,1,1,0,573400.0,0.0
173,204,2012Q2,S08000022,Breast,41.0,41.0,1,1,0,573400.0,0.0
174,205,2012Q2,S08000022,Cervical,2.0,2.0,1,1,0,573400.0,0.0
175,206,2012Q2,S08000022,Colorectal,28.0,26.0,1,1,0,573400.0,0.0
176,207,2012Q2,S08000022,Head & Neck,5.0,5.0,1,1,0,573400.0,0.0
177,208,2012Q2,S08000022,Lung,38.0,37.0,1,1,0,573400.0,0.0
178,209,2012Q2,S08000022,Lymphoma,8.0,8.0,1,1,0,573400.0,0.0
179,210,2012Q2,S08000022,Melanoma,3.0,3.0,1,1,0,319800.0,0.0
180,211,2012Q2,S08000022,Ovarian,5.0,5.0,1,1,0,319800.0,0.0
181,212,2012Q2,S08000022,Upper GI,14.0,14.0,1,1,0,319800.0,0.0
182,213,2012Q2,S08000022,Urological,17.0,15.0,1,1,0,319800.0,0.0
183,215,2012Q2,S08000024,Breast,166.0,166.0,1,1,0,319800.0,0.0
184,216,2012Q2,S08000024,Cervical,2.0,1.0,1,1,0,319800.0,0.0
185,217,2012Q2,S08000024,Colorectal,102.0,88.0,1,1,0,319800.0,0.0
186,218,2012Q2,S08000024,Head & Neck,22.0,20.0,1,1,0,319800.0,0.0
187,219,2012Q2,S08000024,Lung,88.0,80.0,1,1,0,319800.0,0.0
188,220,2012Q2,S08000024,Lymphoma,19.0,19.0,1,1,0,319800.0,0.0
189,221,2012Q2,S08000024,Melanoma,25.0,25.0,1,1,0,843740.0,0.0
190,222,2012Q2,S08000024,Ovarian,19.0,19.0,1,1,0,843740.0,0.0
191,223,2012Q2,S08000024,Upper GI,56.0,55.0,1,1,0,843740.0,0.0
192,224,2012Q2,S08000024,Urological,66.0,56.0,1,1,0,843740.0,0.0
193,226,2012Q2,S08000025,Breast,1.0,1.0,1,1,0,843740.0,0.0
194,227,2012Q2,S08000025,Colorectal,1.0,0.0,1,1,0,843740.0,0.0
195,228,2012Q2,S08000025,Lymphoma,2.0,2.0,1,1,0,843740.0,0.0
196,229,2012Q2,S08000025,Upper GI,2.0,2.0,1,1,0,843740.0,0.0
197,231,2012Q2,S08000026,Breast,1.0,1.0,1,1,0,843740.0,0.0
198,232,2012Q2,S08000026,Lymphoma,1.0,1.0,1,1,0,843740.0,0.0
199,233,2012Q2,S08000026,Melanoma,1.0,1.0,1,1,0,21530.0,0.0
200,234,2012Q2,S08000026,Ovarian,1.0,1.0,1,1,0,21530.0,0.0
201,235,2012Q2,S08000026,Urological,4.0,4.0,1,1,0,21530.0,0.0
202,237,2012Q2,S08000028,Colorectal,7.0,7.0,1,1,0,21530.0,0.0
203,238,2012Q2,S08000028,Head & Neck,1.0,1.0,1,1,0,21530.0,0.0
204,239,2012Q2,S08000028,Lung,3.0,3.0,1,1,0,23210.0,0.0
205,240,2012Q2,S08000028,Ovarian,1.0,1.0,1,1,0,23210.0,0.0
206,241,2012Q2,S08000028,Upper GI,3.0,3.0,1,1,0,23210.0,0.0
207,242,2012Q2,S08000028,Urological,3.0,3.0,1,1,0,23210.0,0.0
208,244,2012Q2,S08000029,Breast,22.0,22.0,1,1,0,23210.0,0.0
209,245,2012Q2,S08000029,Cervical,1.0,1.0,1,1,0,23210.0,0.0
210,246,2012Q2,S08000029,Colorectal,26.0,21.0,1,1,0,23210.0,0.0
211,247,2012Q2,S08000029,Head & Neck,8.0,7.0,1,1,0,23210.0,0.0
212,248,2012Q2,S08000029,Lung,45.0,40.0,1,1,0,27560.0,0.0
213,249,2012Q2,S08000029,Lymphoma,3.0,3.0,1,1,0,27560.0,0.0
214,250,2012Q2,S08000029,Melanoma,3.0,3.0,1,1,0,27560.0,0.0
215,251,2012Q2,S08000029,Ovarian,4.0,4.0,1,1,0,27560.0,0.0
216,252,2012Q2,S08000029,Upper GI,23.0,23.0,1,1,0,27560.0,0.0
217,253,2012Q2,S08000029,Urological,29.0,26.0,1,1,0,27560.0,0.0
218,255,2012Q2,S08000030,Breast,69.0,69.0,1,1,0,366210.0,0.0
219,256,2012Q2,S08000030,Cervical,2.0,2.0,1,1,0,366210.0,0.0
220,257,2012Q2,S08000030,Colorectal,29.0,25.0,1,1,0,366210.0,0.0
221,258,2012Q2,S08000030,Head & Neck,7.0,7.0,1,1,0,366210.0,0.0
222,259,2012Q2,S08000030,Lung,48.0,46.0,1,1,0,366210.0,0.0
223,260,2012Q2,S08000030,Lymphoma,1.0,1.0,1,1,0,366210.0,0.0
224,261,2012Q2,S08000030,Melanoma,7.0,7.0,1,1,0,366210.0,0.0
225,262,2012Q2,S08000030,Ovarian,4.0,4.0,1,1,0,366210.0,0.0
226,263,2012Q2,S08000030,Upper GI,28.0,28.0,1,1,0,366210.0,0.0
227,264,2012Q2,S08000030,Urological,29.0,26.0,1,1,0,366210.0,0.0
228,266,2012Q2,S08000031,Breast,235.0,234.0,1,1,0,411740.0,0.0
229,267,2012Q2,S08000031,Cervical,1.0,1.0,1,1,0,411740.0,0.0
230,268,2012Q2,S08000031,Colorectal,103.0,93.0,1,1,0,411740.0,0.0
231,269,2012Q2,S08000031,Head & Neck,36.0,36.0,1,1,0,411740.0,0.0
232,270,2012Q2,S08000031,Lung,164.0,157.0,1,1,0,411740.0,0.0
233,271,2012Q2,S08000031,Lymphoma,16.0,16.0,1,1,0,411740.0,0.0
234,272,2012Q2,S08000031,Melanoma,41.0,40.0,1,1,0,411740.0,0.0
235,273,2012Q2,S08000031,Ovarian,5.0,5.0,1,1,0,411740.0,0.0
236,274,2012Q2,S08000031,Upper GI,70.0,67.0,1,1,0,411740.0,0.0
237,275,2012Q2,S08000031,Urological,106.0,100.0,1,1,0,411740.0,0.0
238,277,2012Q2,S08000032,Breast,58.0,58.0,1,1,0,1137320.0,0.0
239,278,2012Q2,S08000032,Cervical,4.0,4.0,1,1,0,1137320.0,0.0
240,279,2012Q2,S08000032,Colorectal,53.0,48.0,1,1,0,1137320.0,0.0
241,280,2012Q2,S08000032,Head & Neck,14.0,14.0,1,1,0,1137320.0,0.0
242,281,2012Q2,S08000032,Lung,74.0,74.0,1,1,0,1137320.0,0.0
243,282,2012Q2,S08000032,Lymphoma,8.0,8.0,1,1,0,1137320.0,0.0
244,283,2012Q2,S08000032,Melanoma,15.0,14.0,1,1,0,1137320.0,0.0
245,284,2012Q2,S08000032,Ovarian,4.0,4.0,1,1,0,1137320.0,0.0
246,285,2012Q2,S08000032,Upper GI,30.0,30.0,1,1,0,1137320.0,0.0
247,286,2012Q2,S08000032,Urological,32.0,30.0,1,1,0,1137320.0,0.0
248,299,2012Q3,S08000015,Breast,82.0,82.0,2,4,0,652220.0,0.0
249,300,2012Q3,S08000015,Cervical,5.0,4.0,2,4,0,652220.0,0.0
250,301,2012Q3,S08000015,Colorectal,29.0,24.0,2,4,0,652220.0,0.0
251,302,2012Q3,S08000015,Head & Neck,6.0,5.0,2,4,0,652220.0,0.0
252,303,2012Q3,S08000015,Lung,49.0,48.0,2,4,0,652220.0,0.0
253,304,2012Q3,S08000015,Lymphoma,5.0,5.0,2,4,0,652220.0,0.0
254,305,2012Q3,S08000015,Melanoma,8.0,8.0,2,4,0,652220.0,0.0
255,306,2012Q3,S08000015,Ovarian,12.0,12.0,2,4,0,652220.0,0.0
256,307,2012Q3,S08000015,Upper GI,22.0,21.0,2,4,0,652220.0,0.0
257,308,2012Q3,S08000015,Urological,21.0,20.0,2,4,0,652220.0,0.0
258,310,2012Q3,S08000016,Breast,11.0,11.0,2,4,0,373220.0,0.0
259,311,2012Q3,S08000016,Cervical,1.0,1.0,2,4,0,373220.0,0.0
260,312,2012Q3,S08000016,Colorectal,14.0,13.0,2,4,0,373220.0,0.0
261,313,2012Q3,S08000016,Head & Neck,4.0,4.0,2,4,0,373220.0,0.0
262,314,2012Q3,S08000016,Lung,9.0,9.0,2,4,0,373220.0,0.0
263,315,2012Q3,S08000016,Lymphoma,6.0,6.0,2,4,0,373220.0,0.0
264,316,2012Q3,S08000016,Ovarian,3.0,3.0,2,4,0,373220.0,0.0
265,317,2012Q3,S08000016,Upper GI,7.0,7.0,2,4,0,373220.0,0.0
266,318,2012Q3,S08000016,Urological,19.0,19.0,2,4,0,373220.0,0.0
267,320,2012Q3,S08000017,Breast,23.0,23.0,2,4,0,373220.0,0.0
268,321,2012Q3,S08000017,Cervical,2.0,1.0,2,4,0,113720.0,0.0
269,322,2012Q3,S08000017,Colorectal,23.0,22.0,2,4,0,113720.0,0.0
270,323,2012Q3,S08000017,Head & Neck,4.0,4.0,2,4,0,113720.0,0.0
271,324,2012Q3,S08000017,Lung,14.0,13.0,2,4,0,113720.0,0.0
272,325,2012Q3,S08000017,Lymphoma,5.0,5.0,2,4,0,113720.0,0.0
273,326,2012Q3,S08000017,Melanoma,7.0,7.0,2,4,0,113720.0,0.0
274,327,2012Q3,S08000017,Ovarian,3.0,3.0,2,4,0,113720.0,0.0
275,328,2012Q3,S08000017,Upper GI,15.0,15.0,2,4,0,113720.0,0.0
276,329,2012Q3,S08000017,Urological,26.0,25.0,2,4,0,113720.0,0.0
277,331,2012Q3,S08000019,Breast,34.0,32.0,2,4,0,113720.0,0.0
278,332,2012Q3,S08000019,Cervical,2.0,2.0,2,4,0,150840.0,0.0
279,333,2012Q3,S08000019,Colorectal,23.0,19.0,2,4,0,150840.0,0.0
280,334,2012Q3,S08000019,Head & Neck,9.0,7.0,2,4,0,150840.0,0.0
281,335,2012Q3,S08000019,Lung,46.0,45.0,2,4,0,150840.0,0.0
282,336,2012Q3,S08000019,Lymphoma,4.0,4.0,2,4,0,150840.0,0.0
283,337,2012Q3,S08000019,Melanoma,9.0,9.0,2,4,0,150840.0,0.0
284,338,2012Q3,S08000019,Ovarian,3.0,3.0,2,4,0,150840.0,0.0
285,339,2012Q3,S08000019,Upper GI,29.0,29.0,2,4,0,150840.0,0.0
286,340,2012Q3,S08000019,Urological,30.0,26.0,2,4,0,150840.0,0.0
287,342,2012Q3,S08000020,Breast,88.0,87.0,2,4,0,150840.0,0.0
288,343,2012Q3,S08000020,Cervical,5.0,5.0,2,4,0,299090.0,0.0
289,344,2012Q3,S08000020,Colorectal,62.0,45.0,2,4,0,299090.0,0.0
290,345,2012Q3,S08000020,Head & Neck,8.0,7.0,2,4,0,299090.0,0.0
291,346,2012Q3,S08000020,Lung,65.0,58.0,2,4,0,299090.0,0.0
292,347,2012Q3,S08000020,Lymphoma,10.0,7.0,2,4,0,299090.0,0.0
293,348,2012Q3,S08000020,Melanoma,9.0,9.0,2,4,0,299090.0,0.0
294,349,2012Q3,S08000020,Ovarian,3.0,3.0,2,4,0,299090.0,0.0
295,350,2012Q3,S08000020,Upper GI,24.0,22.0,2,4,0,299090.0,0.0
296,351,2012Q3,S08000020,Urological,37.0,32.0,2,4,0,299090.0,0.0
297,353,2012Q3,S08000022,Breast,56.0,56.0,2,4,0,299090.0,0.0
298,354,2012Q3,S08000022,Colorectal,22.0,21.0,2,4,0,573400.0,0.0
299,355,2012Q3,S08000022,Head & Neck,8.0,8.0,2,4,0,573400.0,0.0
300,356,2012Q3,S08000022,Lung,37.0,36.0,2,4,0,573400.0,0.0
301,357,2012Q3,S08000022,Lymphoma,12.0,11.0,2,4,0,573400.0,0.0
302,358,2012Q3,S08000022,Melanoma,19.0,19.0,2,4,0,573400.0,0.0
303,359,2012Q3,S08000022,Ovarian,4.0,4.0,2,4,0,573400.0,0.0
304,360,2012Q3,S08000022,Upper GI,17.0,14.0,2,4,0,573400.0,0.0
305,361,2012Q3,S08000022,Urological,24.0,23.0,2,4,0,573400.0,0.0
306,363,2012Q3,S08000024,Breast,143.0,143.0,2,4,0,573400.0,0.0
307,364,2012Q3,S08000024,Cervical,10.0,9.0,2,4,0,573400.0,0.0
308,365,2012Q3,S08000024,Colorectal,93.0,74.0,2,4,0,319800.0,0.0
309,366,2012Q3,S08000024,Head & Neck,18.0,14.0,2,4,0,319800.0,0.0
310,367,2012Q3,S08000024,Lung,83.0,79.0,2,4,0,319800.0,0.0
311,368,2012Q3,S08000024,Lymphoma,22.0,21.0,2,4,0,319800.0,0.0
312,369,2012Q3,S08000024,Melanoma,19.0,19.0,2,4,0,319800.0,0.0
313,370,2012Q3,S08000024,Ovarian,10.0,10.0,2,4,0,319800.0,0.0
314,371,2012Q3,S08000024,Upper GI,42.0,41.0,2,4,0,319800.0,0.0
315,372,2012Q3,S08000024,Urological,80.0,66.0,2,4,0,319800.0,0.0
316,374,2012Q3,S08000025,Colorectal,1.0,1.0,2,4,0,319800.0,0.0
