Quarter,HB,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,Date,DateSquared,Pandemic
2012Q1,S08000022,Upper GI,20,20,0,0,0
2012Q1,S08000022,Urological,18,17,0,0,0
2012Q1,S08000024,Breast,169,169,0,0,0
2012Q1,S08000024,Cervical,2,2,0,0,0
2012Q1,S08000024,Colorectal,97,94,0,0,0
2012Q1,S08000024,Head & Neck,16,14,0,0,0
2012Q1,S08000024,Lung,101,95,0,0,0
2012Q1,S08000024,Lymphoma,14,14,0,0,0
2012Q1,S08000024,Melanoma,23,22,0,0,0
2012Q1,S08000024,Ovarian,13,12,0,0,0
2012Q1,S08000024,Upper GI,32,32,0,0,0
2012Q1,S08000024,Urological,95,85,0,0,0
2012Q1,S08000025,Breast,1,1,0,0,0
2012Q1,S08000025,Colorectal,4,3,0,0,0
2012Q1,S08000025,Upper GI,1,0,0,0,0
2012Q1,S08000025,Urological,1,1,0,0,0
2012Q1,S08000026,Breast,1,1,0,0,0
2012Q1,S08000026,Colorectal,6,5,0,0,0
2012Q1,S08000026,Lung,5,5,0,0,0
2012Q1,S08000026,Lymphoma,1,1,0,0,0
2012Q1,S08000026,Melanoma,1,1,0,0,0
2012Q1,S08000026,Upper GI,1,1,0,0,0
2012Q1,S08000026,Urological,1,1,0,0,0
2012Q1,S08000028,Colorectal,3,3,0,0,0
2012Q1,S08000028,Lung,6,6,0,0,0
2012Q1,S08000028,Upper GI,3,3,0,0,0
2012Q1,S08000028,Urological,1,1,0,0,0
2012Q1,S08000029,Breast,24,24,0,0,0
2012Q1,S08000029,Cervical,3,2,0,0,0
2012Q1,S08000029,Colorectal,35,29,0,0,0
2012Q1,S08000029,Head & Neck,5,5,0,0,0
2012Q1,S08000029,Lung,58,55,0,0,0
2012Q1,S08000029,Lymphoma,7,6,0,0,0
2012Q1,S08000029,Melanoma,5,5,0,0,0
2012Q1,S08000029,Ovarian,5,3,0,0,0
2012Q1,S08000029,Upper GI,17,17,0,0,0
2012Q1,S08000029,Urological,32,29,0,0,0
2012Q1,S08000030,Breast,67,67,0,0,0
2012Q1,S08000030,Cervical,2,2,0,0,0
2012Q1,S08000030,Colorectal,42,37,0,0,0
2012Q1,S08000030,Head & Neck,8,7,0,0,0
2012Q1,S08000030,Lung,40,38,0,0,0
2012Q1,S08000030,Lymphoma,5,5,0,0,0
2012Q1,S08000030,Melanoma,10,10,0,0,0
2012Q1,S08000030,Ovarian,4,4,0,0,0
2012Q1,S08000030,Upper GI,13,13,0,0,0
2012Q1,S08000030,Urological,32,30,0,0,0
2012Q1,S08000031,Breast,207,207,0,0,0
2012Q1,S08000031,Cervical,6,6,0,0,0
2012Q1,S08000031,Colorectal,102,94,0,0,0
2012Q1,S08000031,Head & Neck,33,32,0,0,0
2012Q1,S08000031,Lung,113,96,0,0,0
2012Q1,S08000031,Lymphoma,18,18,0,0,0
2012Q1,S08000031,Melanoma,25,25,0,0,0
2012Q1,S08000031,Ovarian,6,6,0,0,0
2012Q1,S08000031,Upper GI,98,92,0,0,0
2012Q1,S08000031,Urological,88,86,0,0,0
2012Q1,S08000032,Breast,53,53,0,0,0
2012Q1,S08000032,Cervical,8,7,0,0,0
2012Q1,S08000032,Colorectal,50,47,0,0,0
2012Q1,S08000032,Head & Neck,5,5,0,0,0
2012Q1,S08000032,Lung,63,62,0,0,0
2012Q1,S08000032,Lymphoma,4,4,0,0,0
2012Q1,S08000032,Melanoma,16,16,0,0,0
2012Q1,S08000032,Ovarian,6,6,0,0,0
2012Q1,S08000032,Upper GI,28,27,0,0,0
2012Q1,S08000032,Urological,43,40,0,0,0
2012Q2,S08000015,Breast,70,70,1,1,0
2012Q2,S08000015,Cervical,4,4,1,1,0
2012Q2,S08000015,Colorectal,35,32,1,1,0
2012Q2,S08000015,Head & Neck,5,4,1,1,0
2012Q2,S08000015,Lung,52,51,1,1,0
2012Q2,S08000015,Lymphoma,5,5,1,1,0
2012Q2,S08000015,Ovarian,7,7,1,1,0
2012Q2,S08000015,Upper GI,30,27,1,1,0
2012Q2,S08000015,Urological,19,17,1,1,0
2012Q2,S08000016,Breast,10,10,1,1,0
2012Q2,S08000016,Cervical,1,1,1,1,0
2012Q2,S08000016,Colorectal,12,12,1,1,0
2012Q2,S08000016,Head & Neck,3,2,1,1,0
2012Q2,S08000016,Lung,8,8,1,1,0
2012Q2,S08000016,Lymphoma,3,3,1,1,0
2012Q2,S08000016,Melanoma,6,6,1,1,0
2012Q2,S08000016,Ovarian,4,4,1,1,0
2012Q2,S08000016,Upper GI,9,9,1,1,0
2012Q2,S08000016,Urological,18,18,1,1,0
2012Q2,S08000017,Breast,11,11,1,1,0
2012Q2,S08000017,Cervical,1,0,1,1,0
2012Q2,S08000017,Colorectal,19,19,1,1,0
2012Q2,S08000017,Head & Neck,4,4,1,1,0
2012Q2,S08000017,Lung,26,26,1,1,0
2012Q2,S08000017,Lymphoma,3,3,1,1,0
2012Q2,S08000017,Melanoma,3,3,1,1,0
2012Q2,S08000017,Ovarian,1,1,1,1,0
2012Q2,S08000017,Upper GI,6,6,1,1,0
2012Q2,S08000017,Urological,14,11,1,1,0
2012Q2,S08000019,Breast,47,44,1,1,0
2012Q2,S08000019,Cervical,1,1,1,1,0
2012Q2,S08000019,Colorectal,38,34,1,1,0
2012Q2,S08000019,Head & Neck,11,10,1,1,0
2012Q2,S08000019,Lung,35,34,1,1,0
2012Q2,S08000019,Lymphoma,5,5,1,1,0
2012Q2,S08000019,Melanoma,6,5,1,1,0
2012Q2,S08000019,Ovarian,4,4,1,1,0
2012Q2,S08000019,Upper GI,21,19,1,1,0
2012Q2,S08000019,Urological,35,31,1,1,0
2012Q2,S08000020,Breast,80,80,1,1,0
2012Q2,S08000020,Cervical,7,7,1,1,0
2012Q2,S08000020,Colorectal,71,62,1,1,0
2012Q2,S08000020,Head & Neck,7,6,1,1,0
2012Q2,S08000020,Lung,54,54,1,1,0
2012Q2,S08000020,Lymphoma,18,14,1,1,0
2012Q2,S08000020,Melanoma,9,9,1,1,0
2012Q2,S08000020,Ovarian,7,6,1,1,0
2012Q2,S08000020,Upper GI,30,30,1,1,0
2012Q2,S08000020,Urological,40,39,1,1,0
2012Q2,S08000022,Breast,41,41,1,1,0
2012Q2,S08000022,Cervical,2,2,1,1,0
2012Q2,S08000022,Colorectal,28,26,1,1,0
2012Q2,S08000022,Head & Neck,5,5,1,1,0
2012Q2,S08000022,Lung,38,37,1,1,0
2012Q2,S08000022,Lymphoma,8,8,1,1,0
2012Q2,S08000022,Melanoma,3,3,1,1,0
2012Q2,S08000022,Ovarian,5,5,1,1,0
2012Q2,S08000022,Upper GI,14,14,1,1,0
2012Q2,S08000022,Urological,17,15,1,1,0
2012Q2,S08000024,Breast,166,166,1,1,0
2012Q2,S08000024,Cervical,2,1,1,1,0
2012Q2,S08000024,Colorectal,102,88,1,1,0
2012Q2,S08000024,Head & Neck,22,20,1,1,0
2012Q2,S08000024,Lung,88,80,1,1,0
2012Q2,S08000024,Lymphoma,19,19,1,1,0
2012Q2,S08000024,Melanoma,25,25,1,1,0
2012Q2,S08000024,Ovarian,19,19,1,1,0
2012Q2,S08000024,Upper GI,56,55,1,1,0
2012Q2,S08000024,Urological,66,56,1,1,0
2012Q2,S08000025,Breast,1,1,1,1,0
2012Q2,S08000025,Colorectal,1,0,1,1,0
2012Q2,S08000025,Lymphoma,2,2,1,1,0
2012Q2,S08000025,Upper GI,2,2,1,1,0
2012Q2,S08000026,Breast,1,1,1,1,0
2012Q2,S08000026,Lymphoma,1,1,1,1,0
2012Q2,S08000026,Melanoma,1,1,1,1,0
2012Q2,S08000026,Ovarian,1,1,1,1,0
2012Q2,S08000026,Urological,4,4,1,1,0
2012Q2,S08000028,Colorectal,7,7,1,1,0
2012Q2,S08000028,Head & Neck,1,1,1,1,0
2012Q2,S08000028,Lung,3,3,1,1,0
2012Q2,S08000028,Ovarian,1,1,1,1,0
2012Q2,S08000028,Upper GI,3,3,1,1,0
2012Q2,S08000028,Urological,3,3,1,1,0
2012Q2,S08000029,Breast,22,22,1,1,0
2012Q2,S08000029,Cervical,1,1,1,1,0
2012Q2,S08000029,Colorectal,26,21,1,1,0
2012Q2,S08000029,Head & Neck,8,7,1,1,0
2012Q2,S08000029,Lung,45,40,1,1,0
2012Q2,S08000029,Lymphoma,3,3,1,1,0
2012Q2,S08000029,Melanoma,3,3,1,1,0
2012Q2,S08000029,Ovarian,4,4,1,1,0
2012Q2,S08000029,Upper GI,23,23,1,1,0
2012Q2,S08000029,Urological,29,26,1,1,0
2012Q2,S08000030,Breast,69,69,1,1,0
2012Q2,S08000030,Cervical,2,2,1,1,0
2012Q2,S08000030,Colorectal,29,25,1,1,0
2012Q2,S08000030,Head & Neck,7,7,1,1,0
2012Q2,S08000030,Lung,48,46,1,1,0
2012Q2,S08000030,Lymphoma,1,1,1,1,0
2012Q2,S08000030,Melanoma,7,7,1,1,0
2012Q2,S08000030,Ovarian,4,4,1,1,0
2012Q2,S08000030,Upper GI,28,28,1,1,0
2012Q2,S08000030,Urological,29,26,1,1,0
2012Q2,S08000031,Breast,235,234,1,1,0
2012Q2,S08000031,Cervical,1,1,1,1,0
2012Q2,S08000031,Colorectal,103,93,1,1,0
2012Q2,S08000031,Head & Neck,36,36,1,1,0
2012Q2,S08000031,Lung,164,157,1,1,0
2012Q2,S08000031,Lymphoma,16,16,1,1,0
2012Q2,S08000031,Melanoma,41,40,1,1,0
2012Q2,S08000031,Ovarian,5,5,1,1,0
2012Q2,S08000031,Upper GI,70,67,1,1,0
2012Q2,S08000031,Urological,106,100,1,1,0
2012Q2,S08000032,Breast,58,58,1,1,0
2012Q2,S08000032,Cervical,4,4,1,1,0
2012Q2,S08000032,Colorectal,53,48,1,1,0
2012Q2,S08000032,Head & Neck,14,14,1,1,0
2012Q2,S08000032,Lung,74,74,1,1,0
2012Q2,S08000032,Lymphoma,8,8,1,1,0
2012Q2,S08000032,Melanoma,15,14,1,1,0
2012Q2,S08000032,Ovarian,4,4,1,1,0
2012Q2,S08000032,Upper GI,30,30,1,1,0
2012Q2,S08000032,Urological,32,30,1,1,0
2012Q3,S08000015,Breast,82,82,2,4,0
2012Q3,S08000015,Cervical,5,4,2,4,0
2012Q3,S08000015,Colorectal,29,24,2,4,0
2012Q3,S08000015,Head & Neck,6,5,2,4,0
2012Q3,S08000015,Lung,49,48,2,4,0
2012Q3,S08000015,Lymphoma,5,5,2,4,0
2012Q3,S08000015,Melanoma,8,8,2,4,0
2012Q3,S08000015,Ovarian,12,12,2,4,0
2012Q3,S08000015,Upper GI,22,21,2,4,0
2012Q3,S08000015,Urological,21,20,2,4,0
2012Q3,S08000016,Breast,11,11,2,4,0
2012Q3,S08000016,Cervical,1,1,2,4,0
2012Q3,S08000016,Colorectal,14,13,2,4,0
2012Q3,S08000016,Head & Neck,4,4,2,4,0
2012Q3,S08000016,Lung,9,9,2,4,0
2012Q3,S08000016,Lymphoma,6,6,2,4,0
2012Q3,S08000016,Ovarian,3,3,2,4,0
2012Q3,S08000016,Upper GI,7,7,2,4,0
2012Q3,S08000016,Urological,19,19,2,4,0
2012Q3,S08000017,Breast,23,23,2,4,0
2012Q3,S08000017,Cervical,2,1,2,4,0
2012Q3,S08000017,Colorectal,23,22,2,4,0
2012Q3,S08000017,Head & Neck,4,4,2,4,0
2012Q3,S08000017,Lung,14,13,2,4,0
2012Q3,S08000017,Lymphoma,5,5,2,4,0
2012Q3,S08000017,Melanoma,7,7,2,4,0
2012Q3,S08000017,Ovarian,3,3,2,4,0
2012Q3,S08000017,Upper GI,15,15,2,4,0
2012Q3,S08000017,Urological,26,25,2,4,0
2012Q3,S08000019,Breast,34,32,2,4,0
2012Q3,S08000019,Cervical,2,2,2,4,0
2012Q3,S08000019,Colorectal,23,19,2,4,0
2012Q3,S08000019,Head & Neck,9,7,2,4,0
2012Q3,S08000019,Lung,46,45,2,4,0
2012Q3,S08000019,Lymphoma,4,4,2,4,0
2012Q3,S08000019,Melanoma,9,9,2,4,0
2012Q3,S08000019,Ovarian,3,3,2,4,0
2012Q3,S08000019,Upper GI,29,29,2,4,0
2012Q3,S08000019,Urological,30,26,2,4,0
2012Q3,S08000020,Breast,88,87,2,4,0
2012Q3,S08000020,Cervical,5,5,2,4,0
2012Q3,S08000020,Colorectal,62,45,2,4,0
2012Q3,S08000020,Head & Neck,8,7,2,4,0
2012Q3,S08000020,Lung,65,58,2,4,0
2012Q3,S08000020,Lymphoma,10,7,2,4,0
2012Q3,S08000020,Melanoma,9,9,2,4,0
2012Q3,S08000020,Ovarian,3,3,2,4,0
2012Q3,S08000020,Upper GI,24,22,2,4,0
2012Q3,S08000020,Urological,37,32,2,4,0
2012Q3,S08000022,Breast,56,56,2,4,0
2012Q3,S08000022,Colorectal,22,21,2,4,0
2012Q3,S08000022,Head & Neck,8,8,2,4,0
2012Q3,S08000022,Lung,37,36,2,4,0
2012Q3,S08000022,Lymphoma,12,11,2,4,0
2012Q3,S08000022,Melanoma,19,19,2,4,0
2012Q3,S08000022,Ovarian,4,4,2,4,0
2012Q3,S08000022,Upper GI,17,14,2,4,0
2012Q3,S08000022,Urological,24,23,2,4,0
2012Q3,S08000024,Breast,143,143,2,4,0
2012Q3,S08000024,Cervical,10,9,2,4,0
2012Q3,S08000024,Colorectal,93,74,2,4,0
2012Q3,S08000024,Head & Neck,18,14,2,4,0
2012Q3,S08000024,Lung,83,79,2,4,0
2012Q3,S08000024,Lymphoma,22,21,2,4,0
2012Q3,S08000024,Melanoma,19,19,2,4,0
2012Q3,S08000024,Ovarian,10,10,2,4,0
2012Q3,S08000024,Upper GI,42,41,2,4,0
2012Q3,S08000024,Urological,80,66,2,4,0
2012Q3,S08000025,Colorectal,1,1,2,4,0
2012Q3,S08000025,Lung,1,1,2,4,0
2012Q3,S08000025,Lymphoma,1,0,2,4,0
2012Q3,S08000025,Urological,2,2,2,4,0
2012Q3,S08000026,Breast,5,5,2,4,0
2012Q3,S08000026,Colorectal,1,1,2,4,0
2012Q3,S08000026,Lung,3,3,2,4,0
2012Q3,S08000026,Ovarian,1,1,2,4,0
2012Q3,S08000026,Upper GI,2,2,2,4,0
2012Q3,S08000028,Cervical,1,1,2,4,0
2012Q3,S08000028,Colorectal,6,6,2,4,0
2012Q3,S08000028,Head & Neck,1,1,2,4,0
2012Q3,S08000028,Lung,4,4,2,4,0
2012Q3,S08000028,Urological,2,2,2,4,0
2012Q3,S08000029,Breast,24,24,2,4,0
2012Q3,S08000029,Cervical,2,1,2,4,0
2012Q3,S08000029,Colorectal,35,33,2,4,0
2012Q3,S08000029,Head & Neck,4,3,2,4,0
2012Q3,S08000029,Lung,67,56,2,4,0
2012Q3,S08000029,Lymphoma,5,5,2,4,0
2012Q3,S08000029,Melanoma,6,5,2,4,0
2012Q3,S08000029,Ovarian,8,8,2,4,0
2012Q3,S08000029,Upper GI,28,27,2,4,0
2012Q3,S08000029,Urological,37,36,2,4,0
2012Q3,S08000030,Breast,45,45,2,4,0
2012Q3,S08000030,Colorectal,35,33,2,4,0
2012Q3,S08000030,Head & Neck,5,5,2,4,0
2012Q3,S08000030,Lung,44,40,2,4,0
2012Q3,S08000030,Lymphoma,3,3,2,4,0
2012Q3,S08000030,Melanoma,12,12,2,4,0
2012Q3,S08000030,Ovarian,7,7,2,4,0
2012Q3,S08000030,Upper GI,23,23,2,4,0
2012Q3,S08000030,Urological,32,30,2,4,0
2012Q3,S08000031,Breast,207,207,2,4,0
2012Q3,S08000031,Cervical,3,3,2,4,0
2012Q3,S08000031,Colorectal,105,98,2,4,0
2012Q3,S08000031,Head & Neck,43,40,2,4,0
2012Q3,S08000031,Lung,137,128,2,4,0
2012Q3,S08000031,Lymphoma,16,16,2,4,0
2012Q3,S08000031,Melanoma,28,26,2,4,0
2012Q3,S08000031,Ovarian,3,3,2,4,0
2012Q3,S08000031,Upper GI,79,74,2,4,0
2012Q3,S08000031,Urological,107,97,2,4,0
2012Q3,S08000032,Breast,42,42,2,4,0
2012Q3,S08000032,Cervical,6,6,2,4,0
2012Q3,S08000032,Colorectal,43,42,2,4,0
2012Q3,S08000032,Head & Neck,7,7,2,4,0
2012Q3,S08000032,Lung,47,47,2,4,0
2012Q3,S08000032,Lymphoma,8,8,2,4,0
2012Q3,S08000032,Melanoma,14,12,2,4,0
2012Q3,S08000032,Ovarian,7,7,2,4,0
2012Q3,S08000032,Upper GI,37,34,2,4,0
2012Q3,S08000032,Urological,29,28,2,4,0
2012Q4,S08000015,Breast,75,75,3,9,0
2012Q4,S08000015,Cervical,1,1,3,9,0
2012Q4,S08000015,Colorectal,54,47,3,9,0
2012Q4,S08000015,Head & Neck,8,8,3,9,0
2012Q4,S08000015,Lung,59,56,3,9,0
2012Q4,S08000015,Lymphoma,4,3,3,9,0
2012Q4,S08000015,Melanoma,7,7,3,9,0
2012Q4,S08000015,Ovarian,3,3,3,9,0
2012Q4,S08000015,Upper GI,23,22,3,9,0
2012Q4,S08000015,Urological,24,23,3,9,0
2012Q4,S08000016,Breast,15,15,3,9,0
2012Q4,S08000016,Cervical,1,1,3,9,0
2012Q4,S08000016,Colorectal,7,7,3,9,0
2012Q4,S08000016,Lung,10,10,3,9,0
2012Q4,S08000016,Lymphoma,4,4,3,9,0
2012Q4,S08000016,Melanoma,5,5,3,9,0
2012Q4,S08000016,Ovarian,5,5,3,9,0
2012Q4,S08000016,Upper GI,10,10,3,9,0
2012Q4,S08000016,Urological,12,12,3,9,0
2012Q4,S08000017,Breast,15,15,3,9,0
2012Q4,S08000017,Cervical,1,1,3,9,0
2012Q4,S08000017,Colorectal,17,15,3,9,0
2012Q4,S08000017,Head & Neck,4,4,3,9,0
2012Q4,S08000017,Lung,12,12,3,9,0
2012Q4,S08000017,Lymphoma,2,2,3,9,0
2012Q4,S08000017,Melanoma,3,3,3,9,0
2012Q4,S08000017,Ovarian,3,3,3,9,0
2012Q4,S08000017,Upper GI,7,7,3,9,0
2012Q4,S08000017,Urological,17,15,3,9,0
2012Q4,S08000019,Breast,32,32,3,9,0
2012Q4,S08000019,Cervical,1,1,3,9,0
2012Q4,S08000019,Colorectal,36,33,3,9,0
2012Q4,S08000019,Head & Neck,9,8,3,9,0
2012Q4,S08000019,Lung,42,41,3,9,0
2012Q4,S08000019,Lymphoma,7,7,3,9,0
2012Q4,S08000019,Melanoma,8,7,3,9,0
2012Q4,S08000019,Ovarian,3,3,3,9,0
2012Q4,S08000019,Upper GI,24,24,3,9,0
2012Q4,S08000019,Urological,26,25,3,9,0
2012Q4,S08000020,Breast,88,88,3,9,0
2012Q4,S08000020,Cervical,4,4,3,9,0
2012Q4,S08000020,Colorectal,58,54,3,9,0
2012Q4,S08000020,Head & Neck,5,4,3,9,0
2012Q4,S08000020,Lung,50,48,3,9,0
2012Q4,S08000020,Lymphoma,10,10,3,9,0
2012Q4,S08000020,Melanoma,6,5,3,9,0
2012Q4,S08000020,Ovarian,6,6,3,9,0
2012Q4,S08000020,Upper GI,37,37,3,9,0
2012Q4,S08000020,Urological,41,35,3,9,0
2012Q4,S08000022,Breast,47,47,3,9,0
2012Q4,S08000022,Cervical,1,1,3,9,0
2012Q4,S08000022,Colorectal,30,27,3,9,0
2012Q4,S08000022,Head & Neck,9,6,3,9,0
2012Q4,S08000022,Lung,41,37,3,9,0
2012Q4,S08000022,Lymphoma,11,11,3,9,0
2012Q4,S08000022,Melanoma,11,11,3,9,0
2012Q4,S08000022,Ovarian,3,3,3,9,0
2012Q4,S08000022,Upper GI,14,14,3,9,0
2012Q4,S08000022,Urological,15,13,3,9,0
2012Q4,S08000024,Breast,173,173,3,9,0
2012Q4,S08000024,Cervical,4,4,3,9,0
2012Q4,S08000024,Colorectal,108,102,3,9,0
2012Q4,S08000024,Head & Neck,14,14,3,9,0
2012Q4,S08000024,Lung,80,78,3,9,0
2012Q4,S08000024,Lymphoma,17,16,3,9,0
2012Q4,S08000024,Melanoma,20,20,3,9,0
2012Q4,S08000024,Ovarian,6,6,3,9,0
2012Q4,S08000024,Upper GI,69,68,3,9,0
2012Q4,S08000024,Urological,72,65,3,9,0
2012Q4,S08000025,Breast,2,2,3,9,0
2012Q4,S08000025,Colorectal,1,1,3,9,0
2012Q4,S08000025,Lung,1,1,3,9,0
2012Q4,S08000025,Melanoma,1,1,3,9,0
2012Q4,S08000025,Ovarian,1,1,3,9,0
2012Q4,S08000025,Upper GI,2,2,3,9,0
2012Q4,S08000026,Colorectal,8,8,3,9,0
2012Q4,S08000026,Head & Neck,1,1,3,9,0
2012Q4,S08000026,Lung,1,1,3,9,0
2012Q4,S08000026,Lymphoma,1,1,3,9,0
2012Q4,S08000026,Melanoma,1,1,3,9,0
2012Q4,S08000026,Upper GI,4,4,3,9,0
2012Q4,S08000026,Urological,2,2,3,9,0
2012Q4,S08000028,Colorectal,2,2,3,9,0
2012Q4,S08000028,Lung,4,4,3,9,0
2012Q4,S08000028,Lymphoma,1,1,3,9,0
2012Q4,S08000028,Melanoma,2,2,3,9,0
2012Q4,S08000028,Ovarian,1,1,3,9,0
2012Q4,S08000028,Upper GI,2,2,3,9,0
2012Q4,S08000028,Urological,2,2,3,9,0
2012Q4,S08000029,Breast,22,22,3,9,0
2012Q4,S08000029,Cervical,3,3,3,9,0
2012Q4,S08000029,Colorectal,34,33,3,9,0
2012Q4,S08000029,Head & Neck,4,4,3,9,0
2012Q4,S08000029,Lung,43,38,3,9,0
2012Q4,S08000029,Lymphoma,5,4,3,9,0
2012Q4,S08000029,Melanoma,5,5,3,9,0
2012Q4,S08000029,Ovarian,11,10,3,9,0
2012Q4,S08000029,Upper GI,14,14,3,9,0
2012Q4,S08000029,Urological,31,31,3,9,0
2012Q4,S08000030,Breast,62,61,3,9,0
2012Q4,S08000030,Cervical,4,4,3,9,0
2012Q4,S08000030,Colorectal,30,28,3,9,0
2012Q4,S08000030,Head & Neck,6,5,3,9,0
2012Q4,S08000030,Lung,48,44,3,9,0
2012Q4,S08000030,Melanoma,6,6,3,9,0
2012Q4,S08000030,Ovarian,6,6,3,9,0
2012Q4,S08000030,Upper GI,15,15,3,9,0
2012Q4,S08000030,Urological,31,29,3,9,0
2012Q4,S08000031,Breast,277,276,3,9,0
2012Q4,S08000031,Cervical,4,3,3,9,0
2012Q4,S08000031,Colorectal,102,100,3,9,0
2012Q4,S08000031,Head & Neck,41,39,3,9,0
2012Q4,S08000031,Lung,156,142,3,9,0
2012Q4,S08000031,Lymphoma,16,15,3,9,0
2012Q4,S08000031,Melanoma,17,17,3,9,0
2012Q4,S08000031,Ovarian,7,7,3,9,0
2012Q4,S08000031,Upper GI,85,77,3,9,0
2012Q4,S08000031,Urological,98,87,3,9,0
2012Q4,S08000032,Breast,51,51,3,9,0
2012Q4,S08000032,Cervical,10,10,3,9,0
2012Q4,S08000032,Colorectal,43,41,3,9,0
2012Q4,S08000032,Head & Neck,10,10,3,9,0
2012Q4,S08000032,Lung,57,57,3,9,0
2012Q4,S08000032,Lymphoma,10,10,3,9,0
2012Q4,S08000032,Melanoma,12,10,3,9,0
2012Q4,S08000032,Ovarian,10,10,3,9,0
2012Q4,S08000032,Upper GI,30,29,3,9,0
2012Q4,S08000032,Urological,42,41,3,9,0
2013Q1,S08000015,Breast,72,72,4,16,0
2013Q1,S08000015,Cervical,2,2,4,16,0
2013Q1,S08000015,Colorectal,34,29,4,16,0
2013Q1,S08000015,Head & Neck,11,11,4,16,0
2013Q1,S08000015,Lung,70,69,4,16,0
2013Q1,S08000015,Lymphoma,6,6,4,16,0
2013Q1,S08000015,Melanoma,9,9,4,16,0
2013Q1,S08000015,Ovarian,4,4,4,16,0
2013Q1,S08000015,Upper GI,32,30,4,16,0
2013Q1,S08000015,Urological,43,36,4,16,0
2013Q1,S08000016,Breast,12,12,4,16,0
2013Q1,S08000016,Cervical,1,1,4,16,0
2013Q1,S08000016,Colorectal,9,8,4,16,0
2013Q1,S08000016,Head & Neck,2,2,4,16,0
2013Q1,S08000016,Lung,12,12,4,16,0
2013Q1,S08000016,Lymphoma,4,4,4,16,0
2013Q1,S08000016,Melanoma,4,4,4,16,0
2013Q1,S08000016,Ovarian,9,9,4,16,0
2013Q1,S08000016,Upper GI,12,12,4,16,0
2013Q1,S08000016,Urological,7,7,4,16,0
2013Q1,S08000017,Breast,22,22,4,16,0
2013Q1,S08000017,Cervical,2,1,4,16,0
2013Q1,S08000017,Colorectal,19,18,4,16,0
2013Q1,S08000017,Lung,14,14,4,16,0
2013Q1,S08000017,Lymphoma,3,3,4,16,0
2013Q1,S08000017,Melanoma,7,7,4,16,0
