,Quarter,HB,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,Date,DateSquared,Pandemic,PopSize,Pandemic_cat,JustPandemic,PandemicRecovery
30,2012Q1,S08000019,Cervical,1,1,0.0,0,0.0,299090.0,0.0,0.0,0.0
31,2012Q1,S08000019,Colorectal,23,21,0.0,0,0.0,299090.0,0.0,0.0,0.0
32,2012Q1,S08000019,Head & Neck,6,5,0.0,0,0.0,299090.0,0.0,0.0,0.0
33,2012Q1,S08000019,Lung,43,42,0.0,0,0.0,299090.0,0.0,0.0,0.0
34,2012Q1,S08000019,Lymphoma,5,5,0.0,0,0.0,299090.0,0.0,0.0,0.0
35,2012Q1,S08000019,Melanoma,5,5,0.0,0,0.0,299090.0,0.0,0.0,0.0
36,2012Q1,S08000019,Ovarian,4,4,0.0,0,0.0,299090.0,0.0,0.0,0.0
37,2012Q1,S08000019,Upper GI,20,20,0.0,0,0.0,299090.0,0.0,0.0,0.0
38,2012Q1,S08000019,Urological,36,30,0.0,0,0.0,299090.0,0.0,0.0,0.0
39,2012Q1,S08000020,Breast,86,86,0.0,0,0.0,573400.0,0.0,0.0,0.0
40,2012Q1,S08000020,Cervical,4,4,0.0,0,0.0,573400.0,0.0,0.0,0.0
41,2012Q1,S08000020,Colorectal,44,32,0.0,0,0.0,573400.0,0.0,0.0,0.0
42,2012Q1,S08000020,Head & Neck,10,9,0.0,0,0.0,573400.0,0.0,0.0,0.0
43,2012Q1,S08000020,Lung,45,42,0.0,0,0.0,573400.0,0.0,0.0,0.0
44,2012Q1,S08000020,Lymphoma,5,2,0.0,0,0.0,573400.0,0.0,0.0,0.0
45,2012Q1,S08000020,Melanoma,9,9,0.0,0,0.0,573400.0,0.0,0.0,0.0
46,2012Q1,S08000020,Ovarian,9,9,0.0,0,0.0,573400.0,0.0,0.0,0.0
47,2012Q1,S08000020,Upper GI,27,25,0.0,0,0.0,573400.0,0.0,0.0,0.0
48,2012Q1,S08000020,Urological,41,36,0.0,0,0.0,573400.0,0.0,0.0,0.0
49,2012Q1,S08000022,Breast,37,37,0.0,0,0.0,319800.0,0.0,0.0,0.0
50,2012Q1,S08000022,Cervical,3,3,0.0,0,0.0,319800.0,0.0,0.0,0.0
51,2012Q1,S08000022,Colorectal,30,27,0.0,0,0.0,319800.0,0.0,0.0,0.0
52,2012Q1,S08000022,Head & Neck,9,8,0.0,0,0.0,319800.0,0.0,0.0,0.0
53,2012Q1,S08000022,Lung,29,28,0.0,0,0.0,319800.0,0.0,0.0,0.0
54,2012Q1,S08000022,Lymphoma,5,5,0.0,0,0.0,319800.0,0.0,0.0,0.0
55,2012Q1,S08000022,Melanoma,9,9,0.0,0,0.0,319800.0,0.0,0.0,0.0
56,2012Q1,S08000022,Ovarian,2,2,0.0,0,0.0,319800.0,0.0,0.0,0.0
57,2012Q1,S08000022,Upper GI,20,20,0.0,0,0.0,319800.0,0.0,0.0,0.0
58,2012Q1,S08000022,Urological,18,17,0.0,0,0.0,319800.0,0.0,0.0,0.0
59,2012Q1,S08000024,Breast,169,169,0.0,0,0.0,843740.0,0.0,0.0,0.0
60,2012Q1,S08000024,Cervical,2,2,0.0,0,0.0,843740.0,0.0,0.0,0.0
61,2012Q1,S08000024,Colorectal,97,94,0.0,0,0.0,843740.0,0.0,0.0,0.0
62,2012Q1,S08000024,Head & Neck,16,14,0.0,0,0.0,843740.0,0.0,0.0,0.0
63,2012Q1,S08000024,Lung,101,95,0.0,0,0.0,843740.0,0.0,0.0,0.0
64,2012Q1,S08000024,Lymphoma,14,14,0.0,0,0.0,843740.0,0.0,0.0,0.0
65,2012Q1,S08000024,Melanoma,23,22,0.0,0,0.0,843740.0,0.0,0.0,0.0
66,2012Q1,S08000024,Ovarian,13,12,0.0,0,0.0,843740.0,0.0,0.0,0.0
67,2012Q1,S08000024,Upper GI,32,32,0.0,0,0.0,843740.0,0.0,0.0,0.0
68,2012Q1,S08000024,Urological,95,85,0.0,0,0.0,843740.0,0.0,0.0,0.0
69,2012Q1,S08000025,Breast,1,1,0.0,0,0.0,21530.0,0.0,0.0,0.0
70,2012Q1,S08000025,Colorectal,4,3,0.0,0,0.0,21530.0,0.0,0.0,0.0
71,2012Q1,S08000025,Upper GI,1,0,0.0,0,0.0,21530.0,0.0,0.0,0.0
72,2012Q1,S08000025,Urological,1,1,0.0,0,0.0,21530.0,0.0,0.0,0.0
73,2012Q1,S08000026,Breast,1,1,0.0,0,0.0,23210.0,0.0,0.0,0.0
74,2012Q1,S08000026,Colorectal,6,5,0.0,0,0.0,23210.0,0.0,0.0,0.0
75,2012Q1,S08000026,Lung,5,5,0.0,0,0.0,23210.0,0.0,0.0,0.0
76,2012Q1,S08000026,Lymphoma,1,1,0.0,0,0.0,23210.0,0.0,0.0,0.0
77,2012Q1,S08000026,Melanoma,1,1,0.0,0,0.0,23210.0,0.0,0.0,0.0
78,2012Q1,S08000026,Upper GI,1,1,0.0,0,0.0,23210.0,0.0,0.0,0.0
79,2012Q1,S08000026,Urological,1,1,0.0,0,0.0,23210.0,0.0,0.0,0.0
80,2012Q1,S08000028,Colorectal,3,3,0.0,0,0.0,27560.0,0.0,0.0,0.0
81,2012Q1,S08000028,Lung,6,6,0.0,0,0.0,27560.0,0.0,0.0,0.0
82,2012Q1,S08000028,Upper GI,3,3,0.0,0,0.0,27560.0,0.0,0.0,0.0
83,2012Q1,S08000028,Urological,1,1,0.0,0,0.0,27560.0,0.0,0.0,0.0
84,2012Q1,S08000029,Breast,24,24,0.0,0,0.0,366210.0,0.0,0.0,0.0
85,2012Q1,S08000029,Cervical,3,2,0.0,0,0.0,366210.0,0.0,0.0,0.0
86,2012Q1,S08000029,Colorectal,35,29,0.0,0,0.0,366210.0,0.0,0.0,0.0
87,2012Q1,S08000029,Head & Neck,5,5,0.0,0,0.0,366210.0,0.0,0.0,0.0
88,2012Q1,S08000029,Lung,58,55,0.0,0,0.0,366210.0,0.0,0.0,0.0
89,2012Q1,S08000029,Lymphoma,7,6,0.0,0,0.0,366210.0,0.0,0.0,0.0
90,2012Q1,S08000029,Melanoma,5,5,0.0,0,0.0,366210.0,0.0,0.0,0.0
91,2012Q1,S08000029,Ovarian,5,3,0.0,0,0.0,366210.0,0.0,0.0,0.0
92,2012Q1,S08000029,Upper GI,17,17,0.0,0,0.0,366210.0,0.0,0.0,0.0
93,2012Q1,S08000029,Urological,32,29,0.0,0,0.0,366210.0,0.0,0.0,0.0
94,2012Q1,S08000030,Breast,67,67,0.0,0,0.0,411740.0,0.0,0.0,0.0
95,2012Q1,S08000030,Cervical,2,2,0.0,0,0.0,411740.0,0.0,0.0,0.0
96,2012Q1,S08000030,Colorectal,42,37,0.0,0,0.0,411740.0,0.0,0.0,0.0
97,2012Q1,S08000030,Head & Neck,8,7,0.0,0,0.0,411740.0,0.0,0.0,0.0
98,2012Q1,S08000030,Lung,40,38,0.0,0,0.0,411740.0,0.0,0.0,0.0
99,2012Q1,S08000030,Lymphoma,5,5,0.0,0,0.0,411740.0,0.0,0.0,0.0
100,2012Q1,S08000030,Melanoma,10,10,0.0,0,0.0,411740.0,0.0,0.0,0.0
101,2012Q1,S08000030,Ovarian,4,4,0.0,0,0.0,411740.0,0.0,0.0,0.0
102,2012Q1,S08000030,Upper GI,13,13,0.0,0,0.0,411740.0,0.0,0.0,0.0
103,2012Q1,S08000030,Urological,32,30,0.0,0,0.0,411740.0,0.0,0.0,0.0
104,2012Q1,S08000031,Breast,207,207,0.0,0,0.0,1137320.0,0.0,0.0,0.0
105,2012Q1,S08000031,Cervical,6,6,0.0,0,0.0,1137320.0,0.0,0.0,0.0
106,2012Q1,S08000031,Colorectal,102,94,0.0,0,0.0,1137320.0,0.0,0.0,0.0
107,2012Q1,S08000031,Head & Neck,33,32,0.0,0,0.0,1137320.0,0.0,0.0,0.0
108,2012Q1,S08000031,Lung,113,96,0.0,0,0.0,1137320.0,0.0,0.0,0.0
109,2012Q1,S08000031,Lymphoma,18,18,0.0,0,0.0,1137320.0,0.0,0.0,0.0
110,2012Q1,S08000031,Melanoma,25,25,0.0,0,0.0,1137320.0,0.0,0.0,0.0
111,2012Q1,S08000031,Ovarian,6,6,0.0,0,0.0,1137320.0,0.0,0.0,0.0
112,2012Q1,S08000031,Upper GI,98,92,0.0,0,0.0,1137320.0,0.0,0.0,0.0
113,2012Q1,S08000031,Urological,88,86,0.0,0,0.0,1137320.0,0.0,0.0,0.0
114,2012Q1,S08000032,Breast,53,53,0.0,0,0.0,652220.0,0.0,0.0,0.0
115,2012Q1,S08000032,Cervical,8,7,0.0,0,0.0,652220.0,0.0,0.0,0.0
116,2012Q1,S08000032,Colorectal,50,47,0.0,0,0.0,652220.0,0.0,0.0,0.0
117,2012Q1,S08000032,Head & Neck,5,5,0.0,0,0.0,652220.0,0.0,0.0,0.0
118,2012Q1,S08000032,Lung,63,62,0.0,0,0.0,652220.0,0.0,0.0,0.0
119,2012Q1,S08000032,Lymphoma,4,4,0.0,0,0.0,652220.0,0.0,0.0,0.0
120,2012Q1,S08000032,Melanoma,16,16,0.0,0,0.0,652220.0,0.0,0.0,0.0
121,2012Q1,S08000032,Ovarian,6,6,0.0,0,0.0,652220.0,0.0,0.0,0.0
122,2012Q1,S08000032,Upper GI,28,27,0.0,0,0.0,652220.0,0.0,0.0,0.0
123,2012Q1,S08000032,Urological,43,40,0.0,0,0.0,652220.0,0.0,0.0,0.0
124,2012Q2,S08000015,Breast,70,70,1.0,1,0.0,373220.0,0.0,0.0,0.0
125,2012Q2,S08000015,Cervical,4,4,1.0,1,0.0,373220.0,0.0,0.0,0.0
126,2012Q2,S08000015,Colorectal,35,32,1.0,1,0.0,373220.0,0.0,0.0,0.0
127,2012Q2,S08000015,Head & Neck,5,4,1.0,1,0.0,373220.0,0.0,0.0,0.0
128,2012Q2,S08000015,Lung,52,51,1.0,1,0.0,373220.0,0.0,0.0,0.0
129,2012Q2,S08000015,Lymphoma,5,5,1.0,1,0.0,373220.0,0.0,0.0,0.0
130,2012Q2,S08000015,Ovarian,7,7,1.0,1,0.0,373220.0,0.0,0.0,0.0
131,2012Q2,S08000015,Upper GI,30,27,1.0,1,0.0,373220.0,0.0,0.0,0.0
132,2012Q2,S08000015,Urological,19,17,1.0,1,0.0,373220.0,0.0,0.0,0.0
133,2012Q2,S08000016,Breast,10,10,1.0,1,0.0,113720.0,0.0,0.0,0.0
134,2012Q2,S08000016,Cervical,1,1,1.0,1,0.0,113720.0,0.0,0.0,0.0
135,2012Q2,S08000016,Colorectal,12,12,1.0,1,0.0,113720.0,0.0,0.0,0.0
136,2012Q2,S08000016,Head & Neck,3,2,1.0,1,0.0,113720.0,0.0,0.0,0.0
137,2012Q2,S08000016,Lung,8,8,1.0,1,0.0,113720.0,0.0,0.0,0.0
138,2012Q2,S08000016,Lymphoma,3,3,1.0,1,0.0,113720.0,0.0,0.0,0.0
139,2012Q2,S08000016,Melanoma,6,6,1.0,1,0.0,113720.0,0.0,0.0,0.0
140,2012Q2,S08000016,Ovarian,4,4,1.0,1,0.0,113720.0,0.0,0.0,0.0
141,2012Q2,S08000016,Upper GI,9,9,1.0,1,0.0,113720.0,0.0,0.0,0.0
142,2012Q2,S08000016,Urological,18,18,1.0,1,0.0,113720.0,0.0,0.0,0.0
143,2012Q2,S08000017,Breast,11,11,1.0,1,0.0,150840.0,0.0,0.0,0.0
144,2012Q2,S08000017,Cervical,1,0,1.0,1,0.0,150840.0,0.0,0.0,0.0
145,2012Q2,S08000017,Colorectal,19,19,1.0,1,0.0,150840.0,0.0,0.0,0.0
146,2012Q2,S08000017,Head & Neck,4,4,1.0,1,0.0,150840.0,0.0,0.0,0.0
147,2012Q2,S08000017,Lung,26,26,1.0,1,0.0,150840.0,0.0,0.0,0.0
148,2012Q2,S08000017,Lymphoma,3,3,1.0,1,0.0,150840.0,0.0,0.0,0.0
149,2012Q2,S08000017,Melanoma,3,3,1.0,1,0.0,150840.0,0.0,0.0,0.0
150,2012Q2,S08000017,Ovarian,1,1,1.0,1,0.0,150840.0,0.0,0.0,0.0
151,2012Q2,S08000017,Upper GI,6,6,1.0,1,0.0,150840.0,0.0,0.0,0.0
152,2012Q2,S08000017,Urological,14,11,1.0,1,0.0,150840.0,0.0,0.0,0.0
153,2012Q2,S08000019,Breast,47,44,1.0,1,0.0,299090.0,0.0,0.0,0.0
154,2012Q2,S08000019,Cervical,1,1,1.0,1,0.0,299090.0,0.0,0.0,0.0
155,2012Q2,S08000019,Colorectal,38,34,1.0,1,0.0,299090.0,0.0,0.0,0.0
156,2012Q2,S08000019,Head & Neck,11,10,1.0,1,0.0,299090.0,0.0,0.0,0.0
157,2012Q2,S08000019,Lung,35,34,1.0,1,0.0,299090.0,0.0,0.0,0.0
158,2012Q2,S08000019,Lymphoma,5,5,1.0,1,0.0,299090.0,0.0,0.0,0.0
159,2012Q2,S08000019,Melanoma,6,5,1.0,1,0.0,299090.0,0.0,0.0,0.0
160,2012Q2,S08000019,Ovarian,4,4,1.0,1,0.0,299090.0,0.0,0.0,0.0
161,2012Q2,S08000019,Upper GI,21,19,1.0,1,0.0,299090.0,0.0,0.0,0.0
162,2012Q2,S08000019,Urological,35,31,1.0,1,0.0,299090.0,0.0,0.0,0.0
163,2012Q2,S08000020,Breast,80,80,1.0,1,0.0,573400.0,0.0,0.0,0.0
164,2012Q2,S08000020,Cervical,7,7,1.0,1,0.0,573400.0,0.0,0.0,0.0
165,2012Q2,S08000020,Colorectal,71,62,1.0,1,0.0,573400.0,0.0,0.0,0.0
166,2012Q2,S08000020,Head & Neck,7,6,1.0,1,0.0,573400.0,0.0,0.0,0.0
167,2012Q2,S08000020,Lung,54,54,1.0,1,0.0,573400.0,0.0,0.0,0.0
168,2012Q2,S08000020,Lymphoma,18,14,1.0,1,0.0,573400.0,0.0,0.0,0.0
169,2012Q2,S08000020,Melanoma,9,9,1.0,1,0.0,573400.0,0.0,0.0,0.0
170,2012Q2,S08000020,Ovarian,7,6,1.0,1,0.0,573400.0,0.0,0.0,0.0
171,2012Q2,S08000020,Upper GI,30,30,1.0,1,0.0,573400.0,0.0,0.0,0.0
172,2012Q2,S08000020,Urological,40,39,1.0,1,0.0,573400.0,0.0,0.0,0.0
173,2012Q2,S08000022,Breast,41,41,1.0,1,0.0,319800.0,0.0,0.0,0.0
174,2012Q2,S08000022,Cervical,2,2,1.0,1,0.0,319800.0,0.0,0.0,0.0
175,2012Q2,S08000022,Colorectal,28,26,1.0,1,0.0,319800.0,0.0,0.0,0.0
176,2012Q2,S08000022,Head & Neck,5,5,1.0,1,0.0,319800.0,0.0,0.0,0.0
177,2012Q2,S08000022,Lung,38,37,1.0,1,0.0,319800.0,0.0,0.0,0.0
178,2012Q2,S08000022,Lymphoma,8,8,1.0,1,0.0,319800.0,0.0,0.0,0.0
179,2012Q2,S08000022,Melanoma,3,3,1.0,1,0.0,319800.0,0.0,0.0,0.0
180,2012Q2,S08000022,Ovarian,5,5,1.0,1,0.0,319800.0,0.0,0.0,0.0
181,2012Q2,S08000022,Upper GI,14,14,1.0,1,0.0,319800.0,0.0,0.0,0.0
182,2012Q2,S08000022,Urological,17,15,1.0,1,0.0,319800.0,0.0,0.0,0.0
183,2012Q2,S08000024,Breast,166,166,1.0,1,0.0,843740.0,0.0,0.0,0.0
184,2012Q2,S08000024,Cervical,2,1,1.0,1,0.0,843740.0,0.0,0.0,0.0
185,2012Q2,S08000024,Colorectal,102,88,1.0,1,0.0,843740.0,0.0,0.0,0.0
186,2012Q2,S08000024,Head & Neck,22,20,1.0,1,0.0,843740.0,0.0,0.0,0.0
187,2012Q2,S08000024,Lung,88,80,1.0,1,0.0,843740.0,0.0,0.0,0.0
188,2012Q2,S08000024,Lymphoma,19,19,1.0,1,0.0,843740.0,0.0,0.0,0.0
189,2012Q2,S08000024,Melanoma,25,25,1.0,1,0.0,843740.0,0.0,0.0,0.0
190,2012Q2,S08000024,Ovarian,19,19,1.0,1,0.0,843740.0,0.0,0.0,0.0
191,2012Q2,S08000024,Upper GI,56,55,1.0,1,0.0,843740.0,0.0,0.0,0.0
192,2012Q2,S08000024,Urological,66,56,1.0,1,0.0,843740.0,0.0,0.0,0.0
193,2012Q2,S08000025,Breast,1,1,1.0,1,0.0,21530.0,0.0,0.0,0.0
194,2012Q2,S08000025,Colorectal,1,0,1.0,1,0.0,21530.0,0.0,0.0,0.0
195,2012Q2,S08000025,Lymphoma,2,2,1.0,1,0.0,21530.0,0.0,0.0,0.0
196,2012Q2,S08000025,Upper GI,2,2,1.0,1,0.0,21530.0,0.0,0.0,0.0
197,2012Q2,S08000026,Breast,1,1,1.0,1,0.0,23210.0,0.0,0.0,0.0
198,2012Q2,S08000026,Lymphoma,1,1,1.0,1,0.0,23210.0,0.0,0.0,0.0
199,2012Q2,S08000026,Melanoma,1,1,1.0,1,0.0,23210.0,0.0,0.0,0.0
200,2012Q2,S08000026,Ovarian,1,1,1.0,1,0.0,23210.0,0.0,0.0,0.0
201,2012Q2,S08000026,Urological,4,4,1.0,1,0.0,23210.0,0.0,0.0,0.0
202,2012Q2,S08000028,Colorectal,7,7,1.0,1,0.0,27560.0,0.0,0.0,0.0
203,2012Q2,S08000028,Head & Neck,1,1,1.0,1,0.0,27560.0,0.0,0.0,0.0
204,2012Q2,S08000028,Lung,3,3,1.0,1,0.0,27560.0,0.0,0.0,0.0
205,2012Q2,S08000028,Ovarian,1,1,1.0,1,0.0,27560.0,0.0,0.0,0.0
206,2012Q2,S08000028,Upper GI,3,3,1.0,1,0.0,27560.0,0.0,0.0,0.0
207,2012Q2,S08000028,Urological,3,3,1.0,1,0.0,27560.0,0.0,0.0,0.0
208,2012Q2,S08000029,Breast,22,22,1.0,1,0.0,366210.0,0.0,0.0,0.0
209,2012Q2,S08000029,Cervical,1,1,1.0,1,0.0,366210.0,0.0,0.0,0.0
210,2012Q2,S08000029,Colorectal,26,21,1.0,1,0.0,366210.0,0.0,0.0,0.0
211,2012Q2,S08000029,Head & Neck,8,7,1.0,1,0.0,366210.0,0.0,0.0,0.0
212,2012Q2,S08000029,Lung,45,40,1.0,1,0.0,366210.0,0.0,0.0,0.0
213,2012Q2,S08000029,Lymphoma,3,3,1.0,1,0.0,366210.0,0.0,0.0,0.0
214,2012Q2,S08000029,Melanoma,3,3,1.0,1,0.0,366210.0,0.0,0.0,0.0
215,2012Q2,S08000029,Ovarian,4,4,1.0,1,0.0,366210.0,0.0,0.0,0.0
216,2012Q2,S08000029,Upper GI,23,23,1.0,1,0.0,366210.0,0.0,0.0,0.0
217,2012Q2,S08000029,Urological,29,26,1.0,1,0.0,366210.0,0.0,0.0,0.0
218,2012Q2,S08000030,Breast,69,69,1.0,1,0.0,411740.0,0.0,0.0,0.0
219,2012Q2,S08000030,Cervical,2,2,1.0,1,0.0,411740.0,0.0,0.0,0.0
220,2012Q2,S08000030,Colorectal,29,25,1.0,1,0.0,411740.0,0.0,0.0,0.0
221,2012Q2,S08000030,Head & Neck,7,7,1.0,1,0.0,411740.0,0.0,0.0,0.0
222,2012Q2,S08000030,Lung,48,46,1.0,1,0.0,411740.0,0.0,0.0,0.0
223,2012Q2,S08000030,Lymphoma,1,1,1.0,1,0.0,411740.0,0.0,0.0,0.0
224,2012Q2,S08000030,Melanoma,7,7,1.0,1,0.0,411740.0,0.0,0.0,0.0
225,2012Q2,S08000030,Ovarian,4,4,1.0,1,0.0,411740.0,0.0,0.0,0.0
226,2012Q2,S08000030,Upper GI,28,28,1.0,1,0.0,411740.0,0.0,0.0,0.0
227,2012Q2,S08000030,Urological,29,26,1.0,1,0.0,411740.0,0.0,0.0,0.0
228,2012Q2,S08000031,Breast,235,234,1.0,1,0.0,1137320.0,0.0,0.0,0.0
229,2012Q2,S08000031,Cervical,1,1,1.0,1,0.0,1137320.0,0.0,0.0,0.0
230,2012Q2,S08000031,Colorectal,103,93,1.0,1,0.0,1137320.0,0.0,0.0,0.0
231,2012Q2,S08000031,Head & Neck,36,36,1.0,1,0.0,1137320.0,0.0,0.0,0.0
232,2012Q2,S08000031,Lung,164,157,1.0,1,0.0,1137320.0,0.0,0.0,0.0
233,2012Q2,S08000031,Lymphoma,16,16,1.0,1,0.0,1137320.0,0.0,0.0,0.0
234,2012Q2,S08000031,Melanoma,41,40,1.0,1,0.0,1137320.0,0.0,0.0,0.0
235,2012Q2,S08000031,Ovarian,5,5,1.0,1,0.0,1137320.0,0.0,0.0,0.0
236,2012Q2,S08000031,Upper GI,70,67,1.0,1,0.0,1137320.0,0.0,0.0,0.0
237,2012Q2,S08000031,Urological,106,100,1.0,1,0.0,1137320.0,0.0,0.0,0.0
238,2012Q2,S08000032,Breast,58,58,1.0,1,0.0,652220.0,0.0,0.0,0.0
239,2012Q2,S08000032,Cervical,4,4,1.0,1,0.0,652220.0,0.0,0.0,0.0
240,2012Q2,S08000032,Colorectal,53,48,1.0,1,0.0,652220.0,0.0,0.0,0.0
241,2012Q2,S08000032,Head & Neck,14,14,1.0,1,0.0,652220.0,0.0,0.0,0.0
242,2012Q2,S08000032,Lung,74,74,1.0,1,0.0,652220.0,0.0,0.0,0.0
243,2012Q2,S08000032,Lymphoma,8,8,1.0,1,0.0,652220.0,0.0,0.0,0.0
244,2012Q2,S08000032,Melanoma,15,14,1.0,1,0.0,652220.0,0.0,0.0,0.0
245,2012Q2,S08000032,Ovarian,4,4,1.0,1,0.0,652220.0,0.0,0.0,0.0
246,2012Q2,S08000032,Upper GI,30,30,1.0,1,0.0,652220.0,0.0,0.0,0.0
247,2012Q2,S08000032,Urological,32,30,1.0,1,0.0,652220.0,0.0,0.0,0.0
248,2012Q3,S08000015,Breast,82,82,2.0,4,0.0,373220.0,0.0,0.0,0.0
249,2012Q3,S08000015,Cervical,5,4,2.0,4,0.0,373220.0,0.0,0.0,0.0
250,2012Q3,S08000015,Colorectal,29,24,2.0,4,0.0,373220.0,0.0,0.0,0.0
251,2012Q3,S08000015,Head & Neck,6,5,2.0,4,0.0,373220.0,0.0,0.0,0.0
252,2012Q3,S08000015,Lung,49,48,2.0,4,0.0,373220.0,0.0,0.0,0.0
253,2012Q3,S08000015,Lymphoma,5,5,2.0,4,0.0,373220.0,0.0,0.0,0.0
254,2012Q3,S08000015,Melanoma,8,8,2.0,4,0.0,373220.0,0.0,0.0,0.0
255,2012Q3,S08000015,Ovarian,12,12,2.0,4,0.0,373220.0,0.0,0.0,0.0
256,2012Q3,S08000015,Upper GI,22,21,2.0,4,0.0,373220.0,0.0,0.0,0.0
257,2012Q3,S08000015,Urological,21,20,2.0,4,0.0,373220.0,0.0,0.0,0.0
258,2012Q3,S08000016,Breast,11,11,2.0,4,0.0,113720.0,0.0,0.0,0.0
259,2012Q3,S08000016,Cervical,1,1,2.0,4,0.0,113720.0,0.0,0.0,0.0
260,2012Q3,S08000016,Colorectal,14,13,2.0,4,0.0,113720.0,0.0,0.0,0.0
261,2012Q3,S08000016,Head & Neck,4,4,2.0,4,0.0,113720.0,0.0,0.0,0.0
262,2012Q3,S08000016,Lung,9,9,2.0,4,0.0,113720.0,0.0,0.0,0.0
263,2012Q3,S08000016,Lymphoma,6,6,2.0,4,0.0,113720.0,0.0,0.0,0.0
264,2012Q3,S08000016,Ovarian,3,3,2.0,4,0.0,113720.0,0.0,0.0,0.0
265,2012Q3,S08000016,Upper GI,7,7,2.0,4,0.0,113720.0,0.0,0.0,0.0
266,2012Q3,S08000016,Urological,19,19,2.0,4,0.0,113720.0,0.0,0.0,0.0
267,2012Q3,S08000017,Breast,23,23,2.0,4,0.0,150840.0,0.0,0.0,0.0
268,2012Q3,S08000017,Cervical,2,1,2.0,4,0.0,150840.0,0.0,0.0,0.0
269,2012Q3,S08000017,Colorectal,23,22,2.0,4,0.0,150840.0,0.0,0.0,0.0
270,2012Q3,S08000017,Head & Neck,4,4,2.0,4,0.0,150840.0,0.0,0.0,0.0
271,2012Q3,S08000017,Lung,14,13,2.0,4,0.0,150840.0,0.0,0.0,0.0
272,2012Q3,S08000017,Lymphoma,5,5,2.0,4,0.0,150840.0,0.0,0.0,0.0
273,2012Q3,S08000017,Melanoma,7,7,2.0,4,0.0,150840.0,0.0,0.0,0.0
274,2012Q3,S08000017,Ovarian,3,3,2.0,4,0.0,150840.0,0.0,0.0,0.0
275,2012Q3,S08000017,Upper GI,15,15,2.0,4,0.0,150840.0,0.0,0.0,0.0
276,2012Q3,S08000017,Urological,26,25,2.0,4,0.0,150840.0,0.0,0.0,0.0
277,2012Q3,S08000019,Breast,34,32,2.0,4,0.0,299090.0,0.0,0.0,0.0
