Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,Pandemic
2012Q2,S08000030,Ovarian,22,22,1,0
2012Q2,S08000030,Upper GI,110,108,1,0
2012Q2,S08000030,Urological,186,178,1,0
2012Q2,S08000031,Breast,650,648,1,0
2012Q2,S08000031,Cervical,8,8,1,0
2012Q2,S08000031,Colorectal,440,428,1,0
2012Q2,S08000031,Head & Neck,168,164,1,0
2012Q2,S08000031,Lung,628,624,1,0
2012Q2,S08000031,Lymphoma,110,110,1,0
2012Q2,S08000031,Melanoma,172,172,1,0
2012Q2,S08000031,Ovarian,20,20,1,0
2012Q2,S08000031,Upper GI,254,252,1,0
2012Q2,S08000031,Urological,524,506,1,0
2012Q2,S08000032,Breast,170,170,1,0
2012Q2,S08000032,Cervical,14,14,1,0
2012Q2,S08000032,Colorectal,164,162,1,0
2012Q2,S08000032,Head & Neck,60,60,1,0
2012Q2,S08000032,Lung,226,224,1,0
2012Q2,S08000032,Lymphoma,54,54,1,0
2012Q2,S08000032,Melanoma,54,52,1,0
2012Q2,S08000032,Ovarian,10,10,1,0
2012Q2,S08000032,Upper GI,98,98,1,0
2012Q2,S08000032,Urological,170,166,1,0
2012Q3,S08000015,Breast,210,210,2,0
2012Q3,S08000015,Cervical,12,12,2,0
2012Q3,S08000015,Colorectal,120,118,2,0
2012Q3,S08000015,Head & Neck,58,58,2,0
2012Q3,S08000015,Lung,156,156,2,0
2012Q3,S08000015,Lymphoma,24,24,2,0
2012Q3,S08000015,Melanoma,58,58,2,0
2012Q3,S08000015,Ovarian,40,40,2,0
2012Q3,S08000015,Upper GI,78,78,2,0
2012Q3,S08000015,Urological,156,148,2,0
2012Q3,S08000016,Breast,34,34,2,0
2012Q3,S08000016,Cervical,4,4,2,0
2012Q3,S08000016,Colorectal,38,38,2,0
2012Q3,S08000016,Head & Neck,14,14,2,0
2012Q3,S08000016,Lung,36,36,2,0
2012Q3,S08000016,Lymphoma,22,22,2,0
2012Q3,S08000016,Melanoma,6,6,2,0
2012Q3,S08000016,Ovarian,12,12,2,0
2012Q3,S08000016,Upper GI,26,26,2,0
2012Q3,S08000016,Urological,72,72,2,0
2012Q3,S08000017,Breast,62,62,2,0
2012Q3,S08000017,Cervical,8,8,2,0
2012Q3,S08000017,Colorectal,72,72,2,0
2012Q3,S08000017,Head & Neck,12,12,2,0
2012Q3,S08000017,Lung,38,38,2,0
2012Q3,S08000017,Lymphoma,18,18,2,0
2012Q3,S08000017,Melanoma,28,26,2,0
2012Q3,S08000017,Ovarian,10,10,2,0
2012Q3,S08000017,Upper GI,40,40,2,0
2012Q3,S08000017,Urological,98,96,2,0
2012Q3,S08000019,Breast,94,94,2,0
2012Q3,S08000019,Cervical,6,6,2,0
2012Q3,S08000019,Colorectal,80,72,2,0
2012Q3,S08000019,Head & Neck,34,34,2,0
2012Q3,S08000019,Lung,126,126,2,0
2012Q3,S08000019,Lymphoma,22,22,2,0
2012Q3,S08000019,Melanoma,24,24,2,0
2012Q3,S08000019,Ovarian,8,8,2,0
2012Q3,S08000019,Upper GI,74,74,2,0
2012Q3,S08000019,Urological,100,92,2,0
2012Q3,S08000020,Breast,242,242,2,0
2012Q3,S08000020,Cervical,10,10,2,0
2012Q3,S08000020,Colorectal,202,194,2,0
2012Q3,S08000020,Head & Neck,52,48,2,0
2012Q3,S08000020,Lung,170,170,2,0
2012Q3,S08000020,Lymphoma,46,46,2,0
2012Q3,S08000020,Melanoma,54,54,2,0
2012Q3,S08000020,Ovarian,16,16,2,0
2012Q3,S08000020,Upper GI,74,72,2,0
2012Q3,S08000020,Urological,216,204,2,0
2012Q3,S08000022,Breast,152,144,2,0
2012Q3,S08000022,Colorectal,78,76,2,0
2012Q3,S08000022,Head & Neck,40,34,2,0
2012Q3,S08000022,Lung,94,94,2,0
2012Q3,S08000022,Lymphoma,34,32,2,0
2012Q3,S08000022,Melanoma,80,80,2,0
2012Q3,S08000022,Ovarian,18,18,2,0
2012Q3,S08000022,Upper GI,66,66,2,0
2012Q3,S08000022,Urological,128,112,2,0
2012Q3,S08000024,Breast,350,350,2,0
2012Q3,S08000024,Cervical,22,22,2,0
2012Q3,S08000024,Colorectal,208,196,2,0
2012Q3,S08000024,Head & Neck,86,86,2,0
2012Q3,S08000024,Lung,302,298,2,0
2012Q3,S08000024,Lymphoma,98,98,2,0
2012Q3,S08000024,Melanoma,90,90,2,0
2012Q3,S08000024,Ovarian,46,36,2,0
2012Q3,S08000024,Upper GI,152,150,2,0
2012Q3,S08000024,Urological,308,292,2,0
2012Q3,S08000025,Breast,2,2,2,0
2012Q3,S08000025,Colorectal,4,4,2,0
2012Q3,S08000025,Lung,4,4,2,0
2012Q3,S08000025,Lymphoma,2,2,2,0
2012Q3,S08000025,Urological,4,4,2,0
2012Q3,S08000026,Breast,12,12,2,0
2012Q3,S08000026,Colorectal,2,2,2,0
2012Q3,S08000026,Lung,6,6,2,0
2012Q3,S08000026,Melanoma,2,2,2,0
2012Q3,S08000026,Ovarian,2,2,2,0
2012Q3,S08000026,Upper GI,4,4,2,0
2012Q3,S08000026,Urological,4,4,2,0
2012Q3,S08000028,Cervical,2,2,2,0
2012Q3,S08000028,Colorectal,14,12,2,0
2012Q3,S08000028,Head & Neck,6,4,2,0
2012Q3,S08000028,Lung,8,8,2,0
2012Q3,S08000028,Melanoma,2,2,2,0
2012Q3,S08000028,Urological,8,8,2,0
2012Q3,S08000029,Breast,94,94,2,0
2012Q3,S08000029,Cervical,8,8,2,0
2012Q3,S08000029,Colorectal,124,122,2,0
2012Q3,S08000029,Head & Neck,30,28,2,0
2012Q3,S08000029,Lung,172,172,2,0
2012Q3,S08000029,Lymphoma,20,20,2,0
2012Q3,S08000029,Melanoma,44,42,2,0
2012Q3,S08000029,Ovarian,20,18,2,0
2012Q3,S08000029,Upper GI,86,86,2,0
2012Q3,S08000029,Urological,184,174,2,0
2012Q3,S08000030,Breast,206,204,2,0
2012Q3,S08000030,Cervical,4,4,2,0
2012Q3,S08000030,Colorectal,140,140,2,0
2012Q3,S08000030,Head & Neck,50,48,2,0
2012Q3,S08000030,Lung,148,148,2,0
2012Q3,S08000030,Lymphoma,42,42,2,0
2012Q3,S08000030,Melanoma,66,58,2,0
2012Q3,S08000030,Ovarian,30,30,2,0
2012Q3,S08000030,Upper GI,102,102,2,0
2012Q3,S08000030,Urological,204,192,2,0
2012Q3,S08000031,Breast,586,582,2,0
2012Q3,S08000031,Cervical,16,14,2,0
2012Q3,S08000031,Colorectal,388,380,2,0
2012Q3,S08000031,Head & Neck,206,198,2,0
2012Q3,S08000031,Lung,560,556,2,0
2012Q3,S08000031,Lymphoma,108,108,2,0
2012Q3,S08000031,Melanoma,108,106,2,0
2012Q3,S08000031,Ovarian,8,8,2,0
2012Q3,S08000031,Upper GI,304,302,2,0
2012Q3,S08000031,Urological,560,522,2,0
2012Q3,S08000032,Breast,146,146,2,0
2012Q3,S08000032,Cervical,18,16,2,0
2012Q3,S08000032,Colorectal,136,136,2,0
2012Q3,S08000032,Head & Neck,36,36,2,0
2012Q3,S08000032,Lung,192,190,2,0
2012Q3,S08000032,Lymphoma,50,50,2,0
2012Q3,S08000032,Melanoma,58,52,2,0
2012Q3,S08000032,Ovarian,24,24,2,0
2012Q3,S08000032,Upper GI,118,116,2,0
2012Q3,S08000032,Urological,166,156,2,0
2012Q4,S08000015,Breast,180,178,3,0
2012Q4,S08000015,Cervical,4,4,3,0
2012Q4,S08000015,Colorectal,160,152,3,0
2012Q4,S08000015,Head & Neck,32,30,3,0
2012Q4,S08000015,Lung,164,164,3,0
2012Q4,S08000015,Lymphoma,10,10,3,0
2012Q4,S08000015,Melanoma,32,32,3,0
2012Q4,S08000015,Ovarian,8,8,3,0
2012Q4,S08000015,Upper GI,96,96,3,0
2012Q4,S08000015,Urological,196,194,3,0
2012Q4,S08000016,Breast,48,48,3,0
2012Q4,S08000016,Cervical,2,2,3,0
2012Q4,S08000016,Colorectal,34,34,3,0
2012Q4,S08000016,Head & Neck,6,6,3,0
2012Q4,S08000016,Lung,42,42,3,0
2012Q4,S08000016,Lymphoma,36,36,3,0
2012Q4,S08000016,Melanoma,10,10,3,0
2012Q4,S08000016,Ovarian,14,14,3,0
2012Q4,S08000016,Upper GI,34,34,3,0
2012Q4,S08000016,Urological,30,30,3,0
2012Q4,S08000017,Breast,46,46,3,0
2012Q4,S08000017,Cervical,4,4,3,0
2012Q4,S08000017,Colorectal,68,68,3,0
2012Q4,S08000017,Head & Neck,22,22,3,0
2012Q4,S08000017,Lung,62,62,3,0
2012Q4,S08000017,Lymphoma,8,8,3,0
2012Q4,S08000017,Melanoma,12,12,3,0
2012Q4,S08000017,Ovarian,8,8,3,0
2012Q4,S08000017,Upper GI,30,28,3,0
2012Q4,S08000017,Urological,96,92,3,0
2012Q4,S08000019,Breast,84,84,3,0
2012Q4,S08000019,Cervical,6,4,3,0
2012Q4,S08000019,Colorectal,104,98,3,0
2012Q4,S08000019,Head & Neck,38,38,3,0
2012Q4,S08000019,Lung,118,118,3,0
2012Q4,S08000019,Lymphoma,26,26,3,0
2012Q4,S08000019,Melanoma,30,30,3,0
2012Q4,S08000019,Ovarian,14,14,3,0
2012Q4,S08000019,Upper GI,72,72,3,0
2012Q4,S08000019,Urological,92,92,3,0
2012Q4,S08000020,Breast,248,248,3,0
2012Q4,S08000020,Cervical,10,10,3,0
2012Q4,S08000020,Colorectal,150,150,3,0
2012Q4,S08000020,Head & Neck,44,42,3,0
2012Q4,S08000020,Lung,148,148,3,0
2012Q4,S08000020,Lymphoma,30,30,3,0
2012Q4,S08000020,Melanoma,56,54,3,0
2012Q4,S08000020,Ovarian,14,14,3,0
2012Q4,S08000020,Upper GI,106,106,3,0
2012Q4,S08000020,Urological,262,250,3,0
2012Q4,S08000022,Breast,138,134,3,0
2012Q4,S08000022,Cervical,2,2,3,0
2012Q4,S08000022,Colorectal,102,96,3,0
2012Q4,S08000022,Head & Neck,32,28,3,0
2012Q4,S08000022,Lung,122,114,3,0
2012Q4,S08000022,Lymphoma,38,36,3,0
2012Q4,S08000022,Melanoma,34,34,3,0
2012Q4,S08000022,Ovarian,8,8,3,0
2012Q4,S08000022,Upper GI,58,58,3,0
2012Q4,S08000022,Urological,100,94,3,0
2012Q4,S08000024,Breast,424,424,3,0
2012Q4,S08000024,Cervical,14,14,3,0
2012Q4,S08000024,Colorectal,290,282,3,0
2012Q4,S08000024,Head & Neck,86,86,3,0
2012Q4,S08000024,Lung,276,274,3,0
2012Q4,S08000024,Lymphoma,68,68,3,0
2012Q4,S08000024,Melanoma,72,70,3,0
2012Q4,S08000024,Ovarian,20,20,3,0
2012Q4,S08000024,Upper GI,222,222,3,0
2012Q4,S08000024,Urological,322,312,3,0
2012Q4,S08000025,Breast,4,4,3,0
2012Q4,S08000025,Colorectal,2,2,3,0
2012Q4,S08000025,Lung,2,2,3,0
2012Q4,S08000025,Melanoma,4,4,3,0
2012Q4,S08000025,Ovarian,2,2,3,0
2012Q4,S08000025,Upper GI,6,6,3,0
2012Q4,S08000026,Colorectal,28,28,3,0
2012Q4,S08000026,Head & Neck,2,2,3,0
2012Q4,S08000026,Lung,6,6,3,0
2012Q4,S08000026,Lymphoma,6,6,3,0
2012Q4,S08000026,Melanoma,2,2,3,0
2012Q4,S08000026,Upper GI,8,8,3,0
2012Q4,S08000026,Urological,16,16,3,0
2012Q4,S08000028,Colorectal,10,8,3,0
2012Q4,S08000028,Head & Neck,2,2,3,0
2012Q4,S08000028,Lung,10,10,3,0
2012Q4,S08000028,Lymphoma,4,4,3,0
2012Q4,S08000028,Melanoma,4,4,3,0
2012Q4,S08000028,Ovarian,2,2,3,0
2012Q4,S08000028,Upper GI,8,8,3,0
2012Q4,S08000028,Urological,10,10,3,0
2012Q4,S08000029,Breast,80,80,3,0
2012Q4,S08000029,Cervical,8,8,3,0
2012Q4,S08000029,Colorectal,90,90,3,0
2012Q4,S08000029,Head & Neck,30,28,3,0
2012Q4,S08000029,Lung,128,126,3,0
2012Q4,S08000029,Lymphoma,28,26,3,0
2012Q4,S08000029,Melanoma,28,28,3,0
2012Q4,S08000029,Ovarian,24,24,3,0
2012Q4,S08000029,Upper GI,60,60,3,0
2012Q4,S08000029,Urological,172,168,3,0
2012Q4,S08000030,Breast,210,210,3,0
2012Q4,S08000030,Cervical,8,8,3,0
2012Q4,S08000030,Colorectal,130,126,3,0
2012Q4,S08000030,Head & Neck,42,42,3,0
2012Q4,S08000030,Lung,164,162,3,0
2012Q4,S08000030,Lymphoma,36,36,3,0
2012Q4,S08000030,Melanoma,62,56,3,0
2012Q4,S08000030,Ovarian,24,24,3,0
2012Q4,S08000030,Upper GI,102,102,3,0
2012Q4,S08000030,Urological,210,198,3,0
2012Q4,S08000031,Breast,766,762,3,0
2012Q4,S08000031,Cervical,16,16,3,0
2012Q4,S08000031,Colorectal,366,354,3,0
2012Q4,S08000031,Head & Neck,172,172,3,0
2012Q4,S08000031,Lung,630,630,3,0
2012Q4,S08000031,Lymphoma,122,122,3,0
2012Q4,S08000031,Melanoma,100,100,3,0
2012Q4,S08000031,Ovarian,14,14,3,0
2012Q4,S08000031,Upper GI,302,302,3,0
2012Q4,S08000031,Urological,582,556,3,0
2012Q4,S08000032,Breast,144,144,3,0
2012Q4,S08000032,Cervical,24,20,3,0
2012Q4,S08000032,Colorectal,156,154,3,0
2012Q4,S08000032,Head & Neck,54,54,3,0
2012Q4,S08000032,Lung,180,180,3,0
2012Q4,S08000032,Lymphoma,52,52,3,0
2012Q4,S08000032,Melanoma,56,52,3,0
2012Q4,S08000032,Ovarian,28,26,3,0
2012Q4,S08000032,Upper GI,96,94,3,0
2012Q4,S08000032,Urological,214,190,3,0
2013Q1,S08000015,Breast,178,176,4,0
2013Q1,S08000015,Cervical,4,4,4,0
2013Q1,S08000015,Colorectal,124,124,4,0
2013Q1,S08000015,Head & Neck,36,34,4,0
2013Q1,S08000015,Lung,186,184,4,0
2013Q1,S08000015,Lymphoma,20,20,4,0
2013Q1,S08000015,Melanoma,34,34,4,0
2013Q1,S08000015,Ovarian,8,8,4,0
2013Q1,S08000015,Upper GI,90,88,4,0
2013Q1,S08000015,Urological,220,210,4,0
2013Q1,S08000016,Breast,46,46,4,0
2013Q1,S08000016,Cervical,2,2,4,0
2013Q1,S08000016,Colorectal,28,28,4,0
2013Q1,S08000016,Head & Neck,14,14,4,0
2013Q1,S08000016,Lung,36,36,4,0
2013Q1,S08000016,Lymphoma,16,16,4,0
2013Q1,S08000016,Melanoma,14,14,4,0
2013Q1,S08000016,Ovarian,24,24,4,0
2013Q1,S08000016,Upper GI,38,38,4,0
2013Q1,S08000016,Urological,60,60,4,0
2013Q1,S08000017,Breast,56,56,4,0
2013Q1,S08000017,Cervical,6,6,4,0
2013Q1,S08000017,Colorectal,46,46,4,0
2013Q1,S08000017,Head & Neck,6,6,4,0
2013Q1,S08000017,Lung,46,46,4,0
2013Q1,S08000017,Lymphoma,26,26,4,0
2013Q1,S08000017,Melanoma,22,22,4,0
2013Q1,S08000017,Ovarian,12,10,4,0
2013Q1,S08000017,Upper GI,42,42,4,0
2013Q1,S08000017,Urological,94,90,4,0
2013Q1,S08000019,Breast,76,72,4,0
2013Q1,S08000019,Cervical,4,4,4,0
2013Q1,S08000019,Colorectal,116,110,4,0
2013Q1,S08000019,Head & Neck,20,18,4,0
2013Q1,S08000019,Lung,88,86,4,0
2013Q1,S08000019,Lymphoma,18,18,4,0
2013Q1,S08000019,Melanoma,24,24,4,0
2013Q1,S08000019,Ovarian,6,6,4,0
2013Q1,S08000019,Upper GI,68,68,4,0
2013Q1,S08000019,Urological,98,96,4,0
2013Q1,S08000020,Breast,206,206,4,0
2013Q1,S08000020,Cervical,12,12,4,0
2013Q1,S08000020,Colorectal,136,134,4,0
2013Q1,S08000020,Head & Neck,40,36,4,0
2013Q1,S08000020,Lung,166,162,4,0
2013Q1,S08000020,Lymphoma,48,48,4,0
2013Q1,S08000020,Melanoma,44,44,4,0
2013Q1,S08000020,Ovarian,18,18,4,0
2013Q1,S08000020,Upper GI,96,96,4,0
2013Q1,S08000020,Urological,210,200,4,0
